TRANSACTION_DATE,Revised_Company_Name,REPORTER_NAME,BUYER_NAME,BUYER_STATE,QUANTITY,REPORTER_DEA_NO,BUYER_DEA_NO,DRUG_NAME,TRANSACTION_CODE,UNIT,ACTION_INDICATOR,ORDER_FORM_NO,CORRECTION_NO,STRENGTH,TRANSACTION_ID
08/24/2011,PURDUE PHARMA LP,HENRY SCHEIN INC,VILLAGE PHARMACY #8234 (IN),IN,447,R680688,B500002,BUPRENORPHINE,S,ML,T,OF8429735,0,30,10376
02/25/2014,RHODES TECHNOLOGIES,PENN PHARMACEUTICAL SERVICES INC,QUALITY CARE PHARMACY #8690 (FL),FL,892,R696249,B171292,FENTANYL,X,MCG,S,OF3516093,0,15,20921
08/15/2013,CADISTA PHARMACEUTICALS INC,KINRAY LLC,PUBLIX PHARMACY #6736 (TN),TN,175,R192822,B820868,OXYMORPHONE,T,GM,T,OF1405858,0,5,47081
08/22/2012,SANDOZ INC,MORRIS & DICKSON CO LLC,SUNRISE PHARMACY #8405 (VA),VA,2010,R733374,B636169,OXYMORPHONE,P,MCG,T,OF3787662,0,30,6992
04/02/2011,HIKMA PHARMACEUTICALS,KINRAY LLC,WALGREENS #5175 (PA),PA,801,R682631,B739984,OXYMORPHONE,S,GM,T,OF3202046,0,30,18102
04/30/2009,WATSON LABORATORIES INC,GULF COAST MEDICAL SUPPLY,CORNER DRUG STORE #6747 (ID),ID,2124,R273527,B171375,CODEINE,X,GM,T,OF2569932,0,30,21555
04/06/2012,PURDUE PHARMA LP,MCKESSON CORPORATION,CVS PHARMACY #2361 (MN),MN,56,R731523,B502115,OXYMORPHONE,X,ML,T,OF2943876,0,20,21818
10/02/2013,ACTAVIS PHARMA INC,MCKESSON CORPORATION,PEOPLES PHARMACY #8009 (NH),NH,492,R300508,B472119,MORPHINE,T,GM,S,OF8491625,0,30,21417
04/06/2008,QUALITEST PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #6129 (NC),NC,688,R748641,B309305,METHADONE,T,GM,T,OF9697000,0,10,5719
12/18/2011,VINTAGE PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #9368 (GA),GA,15,R677141,B262953,HYDROCODONE,X,MCG,S,OF3076958,0,30,367
08/12/2013,PURDUE PHARMA LP,DIRECT RX,HARRIS TEETER PHARMACY #1096 (WV),WV,20000,R995521,B507023,BUPRENORPHINE,T,MCG,T,OF1608492,0,5,16920
01/06/2014,RHODES TECHNOLOGIES,KINRAY LLC,MAIN STREET PHARMACY #8644 (MI),MI,6065,R697212,B461731,OXYCODONE,T,MCG,S,OF7360641,0,5,49489
12/02/2012,MALLINCKRODT LLC,VALUEDRUGCO,PUBLIX PHARMACY #1528 (VA),VA,22,R947955,B167084,CODEINE,S,MCG,T,OF6920799,0,15,1290
03/16/2014,JANSSEN PHARMACEUTICALS INC,ANDA INC,WALGREENS #9211 (LA),LA,526,R174505,B888245,METHADONE,S,MCG,T,OF1731617,0,40,37576
02/07/2012,VINTAGE PHARMACEUTICALS LLC,KINRAY LLC,QUALITY CARE PHARMACY #6507 (NC),NC,778,R986575,B496887,MORPHINE,S,GM,T,OF7564193,0,40,30883
08/05/2012,ACTAVIS PHARMA INC,PRESCRIPTION SUPPLY INC,PEOPLES PHARMACY #6007 (WV),WV,2616,R599280,B676107,FENTANYL,X,ML,T,OF5257448,0,10,19328
12/05/2011,AMNEAL PHARMACEUTICALS LLC,BELLCO DRUG CORP,COMMUNITY PHARMACY #5242 (DE),DE,229,R242116,B856069,FENTANYL,T,MCG,T,OF5285756,0,30,12785
10/09/2012,MYLAN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,VILLAGE PHARMACY #4915 (OH),OH,3395,R710563,B613887,BUPRENORPHINE,P,ML,T,OF8391243,0,40,4528
12/17/2012,JANSSEN PHARMACEUTICALS INC,KINRAY LLC,RITE AID #1394 (FL),FL,326,R853099,B628511,HYDROCODONE,X,MCG,T,OF3309721,0,5,18119
03/23/2013,AMNEAL PHARMACEUTICALS LLC,MCKESSON CORPORATION,VILLAGE PHARMACY #4294 (PA),PA,565,R764269,B792886,MORPHINE,P,ML,S,OF6363051,0,30,14917
04/06/2012,AMNEAL PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #1887 (KY),KY,334,R672275,B979131,OXYCODONE,S,GM,S,OF8813940,0,20,14759
08/12/2010,SUN PHARMA GLOBAL INC,HD SMITH WHOLESALE DRUG CO,CORNER DRUG STORE #2236 (KY),KY,197,R819962,B214672,FENTANYL,S,MCG,S,OF6626357,0,80,43144
04/30/2008,CADISTA PHARMACEUTICALS INC,HD SMITH WHOLESALE DRUG CO,PUBLIX PHARMACY #8593 (NM),NM,214,R390802,B683273,OXYCODONE,X,ML,S,OF2594649,0,30,25864
01/16/2009,ENDO PHARMACEUTICALS INC,BELLCO DRUG CORP,GOOD NEIGHBOR PHARMACY #5688 (MI),MI,47,R441782,B103416,CODEINE,P,GM,S,OF7902902,0,80,13933
08/01/2011,ABBOTT LABORATORIES,SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #7622 (RI),RI,43,R685616,B836074,BUPRENORPHINE,X,GM,T,OF8725380,0,5,22636
12/19/2013,IMPAX LABORATORIES INC,MCKESSON CORPORATION,MAIN STREET PHARMACY #2094 (KY),KY,135,R366312,B673894,OXYCODONE,T,GM,T,OF1640394,0,80,25125
05/06/2009,VINTAGE PHARMACEUTICALS LLC,DAKOTA DRUG INC,PUBLIX PHARMACY #5706 (MT),MT,184,R353760,B111647,HYDROCODONE,X,ML,T,OF2566521,0,80,19004
04/28/2011,PURDUE PHARMA LP,DAKOTA DRUG INC,MEDICO PHARMACY #5021 (MT),MT,334,R731941,B970219,HYDROCODONE,P,GM,S,OF4967721,0,40,25990
03/07/2014,SUN PHARMA GLOBAL INC,PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #2822 (WV),WV,95,R982370,B850453,CODEINE,T,ML,T,OF5396240,0,10,47327
02/01/2013,CADISTA PHARMACEUTICALS INC,HD SMITH WHOLESALE DRUG CO,MAIN STREET PHARMACY #2472 (ND),ND,453,R972228,B584635,OXYMORPHONE,S,ML,T,OF1369732,0,30,40734
04/03/2010,RHODES TECHNOLOGIES,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #7202 (CT),CT,416,R245539,B222192,OXYMORPHONE,X,ML,T,OF7296345,0,10,27272
12/16/2011,TEVA PHARMACEUTICALS USA INC,KINRAY LLC,KROGER PHARMACY #5686 (VA),VA,586,R125177,B630855,CODEINE,P,GM,T,OF9313770,0,10,42000
03/20/2014,IMPAX LABORATORIES INC,ANDA INC,VILLAGE PHARMACY #1377 (VA),VA,207,R868728,B606561,OXYMORPHONE,P,MCG,T,OF1777917,0,5,19485
11/28/2012,MALLINCKRODT LLC,BURLINGTON DRUG COMPANY INC,HARRIS TEETER PHARMACY #3473 (WV),WV,791,R249856,B454679,BUPRENORPHINE,T,MCG,T,OF2750342,0,5,9357
06/25/2009,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,KROGER PHARMACY #6683 (OH),OH,446,R619359,B224363,MORPHINE,P,ML,T,OF8010685,0,30,4928
05/28/2012,HIKMA PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,WINN-DIXIE PHARMACY #8378 (VA),VA,19,R217905,B468312,MORPHINE,S,MCG,T,OF7365289,0,10,39429
12/10/2013,LANNETT COMPANY INC,HENRY SCHEIN INC,SUNRISE PHARMACY #4395 (WA),WA,348,R763384,B491557,OXYMORPHONE,P,MCG,S,OF5855777,0,30,25741
02/05/2012,HIKMA PHARMACEUTICALS,HD SMITH WHOLESALE DRUG CO,HARRIS TEETER PHARMACY #5365 (FL),FL,190,R399198,B502626,OXYMORPHONE,P,MCG,T,OF8186938,0,80,21327
08/05/2010,ABBOTT LABORATORIES,BURLINGTON DRUG COMPANY INC,HOMETOWN PHARMACY #6271 (AR),AR,1500,R413665,B113847,MORPHINE,S,GM,S,OF5187369,0,30,3686
06/03/2014,ABBOTT LABORATORIES,BELLCO DRUG CORP,CVS PHARMACY #6466 (KY),KY,229,R200277,B575151,BUPRENORPHINE,S,MCG,T,OF2296936,0,15,40995
02/14/2011,PURDUE PHARMA LP,NATIONAL WHOLESALE DRUG CO INC,SUNRISE PHARMACY #5581 (TN),TN,165,R679836,B169020,OXYCODONE,X,GM,S,OF5522487,0,40,12494
12/10/2013,QUALITEST PHARMACEUTICALS,NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #9741 (SC),SC,64,R803705,B993192,METHADONE,S,GM,T,OF3285612,0,30,38919
10/23/2008,ACTAVIS PHARMA INC,DIRECT RX,SUNRISE PHARMACY #7390 (IN),IN,115,R649469,B205212,METHADONE,X,ML,T,OF8882151,0,30,1074
01/13/2011,HIKMA PHARMACEUTICALS,HENRY SCHEIN INC,GOOD NEIGHBOR PHARMACY #3848 (DE),DE,295,R305880,B997472,MORPHINE,P,ML,S,OF1974389,0,20,19844
11/29/2008,SUN PHARMA GLOBAL INC,DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #3396 (IN),IN,310,R878511,B163583,OXYCODONE,S,GM,T,OF6296994,0,80,11919
04/20/2013,PURDUE PHARMA LP,BELLCO DRUG CORP,SUNRISE PHARMACY #8246 (MA),MA,267,R999832,B898882,MORPHINE,P,MCG,T,OF1762492,0,20,2875
05/12/2011,TEVA PHARMACEUTICALS USA INC,DAKOTA DRUG INC,CVS PHARMACY #3187 (KY),KY,97,R242221,B687262,METHADONE,X,MCG,S,OF9600359,0,40,6976
01/05/2012,PAR PHARMACEUTICAL INC,DIRECT RX,MEDICO PHARMACY #9378 (TN),TN,739,R108322,B842844,BUPRENORPHINE,P,MCG,S,OF2971640,0,30,37615
06/28/2013,CADISTA PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #9964 (OH),OH,192,R243278,B739601,OXYMORPHONE,T,GM,S,OF5174374,0,5,47442
08/26/2014,MALLINCKRODT LLC,DAKOTA DRUG INC,CORNER DRUG STORE #8519 (AK),AK,243,R826591,B126199,HYDROCODONE,T,MCG,T,OF6026908,0,30,40320
08/27/2011,MYLAN PHARMACEUTICALS INC,CARDINAL HEALTH INC,GOOD NEIGHBOR PHARMACY #1784 (PA),PA,434,R757394,B231123,HYDROCODONE,S,GM,T,OF7030440,0,30,34766
11/24/2012,MYLAN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,WALGREENS #7611 (WA),WA,1328,R830843,B612399,MORPHINE,P,MCG,S,OF1724668,0,30,39996
01/06/2012,CADISTA PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,CVS PHARMACY #9326 (KY),KY,459,R423235,B834569,FENTANYL,S,ML,S,OF5867991,0,80,36087
02/21/2011,SANDOZ INC,VALUEDRUGCO,HARRIS TEETER PHARMACY #3473 (WV),WV,669,R745126,B161203,CODEINE,X,GM,T,OF3116699,0,20,22159
04/28/2011,MALLINCKRODT LLC,HENRY SCHEIN INC,HOMETOWN PHARMACY #3746 (TN),TN,415,R240753,B530491,BUPRENORPHINE,T,MCG,T,OF1332636,0,30,45443
08/17/2011,CADISTA PHARMACEUTICALS INC,ANDA INC,WALMART PHARMACY #8931 (VA),VA,34,R368274,B586844,METHADONE,S,MCG,S,OF9881099,0,80,33786
01/22/2010,LANNETT COMPANY INC,HD SMITH WHOLESALE DRUG CO,PEOPLES PHARMACY #3759 (TN),TN,3760,R431681,B151805,MORPHINE,S,GM,T,OF4599473,0,15,28305
01/30/2014,SANDOZ INC,BELLCO DRUG CORP,VILLAGE PHARMACY #7334 (PA),PA,1379,R880969,B564124,MORPHINE,P,ML,S,OF2007512,0,15,48055
12/15/2008,PURDUE PHARMA LP,VALUEDRUGCO,FAMILY CARE PHARMACY #3203 (KY),KY,84,R889775,B345346,OXYMORPHONE,P,GM,T,OF8291295,0,5,45009
03/04/2011,AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,CORNER DRUG STORE #6200 (PA),PA,357,R442600,B565701,OXYCODONE,X,MCG,S,OF1387491,0,40,49126
01/12/2010,SUN PHARMA GLOBAL INC,KEYSOURCE MEDICAL INC,QUALITY CARE PHARMACY #6273 (HI),HI,330,R328368,B604801,OXYCODONE,X,ML,S,OF1547743,0,40,46108
11/05/2009,QUALITEST PHARMACEUTICALS,DAKOTA DRUG INC,WINN-DIXIE PHARMACY #4497 (AZ),AZ,183,R490695,B447300,MORPHINE,P,MCG,S,OF6918838,0,15,15936
11/06/2013,TEVA PHARMACEUTICALS USA INC,BELLCO DRUG CORP,CORNER DRUG STORE #9561 (PA),PA,779,R471922,B222467,CODEINE,X,ML,S,OF1791405,0,30,38097
09/07/2010,SUN PHARMA GLOBAL INC,SMITH DRUG COMPANY,PEOPLES PHARMACY #2912 (WV),WV,165,R306757,B561805,FENTANYL,P,GM,T,OF7663083,0,5,30569
07/19/2010,TEVA PHARMACEUTICALS USA INC,NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #7046 (MA),MA,686,R186816,B895101,MORPHINE,P,GM,T,OF4536009,0,30,30513
07/25/2008,MALLINCKRODT LLC,DIRECT RX,HARRIS TEETER PHARMACY #9689 (OK),OK,95,R797225,B227450,METHADONE,P,MCG,T,OF4669413,0,80,17972
12/23/2012,RHODES TECHNOLOGIES,AMERISOURCEBERGEN DRUG CORP,WINN-DIXIE PHARMACY #3668 (MS),MS,873,R264101,B805532,OXYCODONE,P,MCG,S,OF9217341,0,40,47044
03/26/2008,CADISTA PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #2028 (TN),TN,1544,R747023,B401982,OXYMORPHONE,P,GM,S,OF6493848,0,40,45110
03/04/2007,RHODES TECHNOLOGIES,SMITH DRUG COMPANY,CVS PHARMACY #9746 (TN),TN,1025,R217071,B943814,FENTANYL,S,GM,T,OF2706579,0,40,22054
06/17/2013,ABBOTT LABORATORIES,MORRIS & DICKSON CO LLC,HOMETOWN PHARMACY #6387 (NC),NC,652,R523130,B376153,CODEINE,P,GM,S,OF3304889,0,5,1416
12/14/2011,PURDUE PHARMA LP,MCKESSON CORPORATION,CVS PHARMACY #4698 (OH),OH,233,R638403,B123670,OXYCODONE,X,ML,T,OF5270489,0,40,7684
08/27/2009,LANNETT COMPANY INC,DIRECT RX,MAIN STREET PHARMACY #7935 (KY),KY,154,R768199,B464258,CODEINE,P,GM,S,OF1387236,0,80,26323
11/30/2011,WATSON LABORATORIES INC,MIAMI-LUKEN INC,HOMETOWN PHARMACY #6513 (WV),WV,374,R955912,B220314,MORPHINE,P,GM,T,OF9660032,0,30,22952
02/25/2014,ACTAVIS PHARMA INC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #9432 (NV),NV,210,R547068,B312298,CODEINE,T,ML,T,OF4469908,0,15,18793
02/04/2009,LANNETT COMPANY INC,ANDA INC,COMMUNITY PHARMACY #8220 (VA),VA,236,R858999,B105888,METHADONE,P,ML,S,OF3784900,0,20,47337
05/04/2011,PAR PHARMACEUTICAL INC,KINRAY LLC,RITE AID #3495 (IL),IL,1190,R707257,B507395,CODEINE,S,ML,T,OF1612561,0,10,27997
07/27/2012,MALLINCKRODT LLC,BELLCO DRUG CORP,MEDICO PHARMACY #7458 (TX),TX,73,R520424,B843371,BUPRENORPHINE,X,GM,S,OF2000519,0,80,42114
12/15/2009,TEVA PHARMACEUTICALS USA INC,BURLINGTON DRUG COMPANY INC,WINN-DIXIE PHARMACY #3112 (LA),LA,98,R162418,B774387,FENTANYL,X,ML,S,OF4985234,0,40,17582
03/19/2011,CADISTA PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,VILLAGE PHARMACY #2073 (WI),WI,234,R441635,B775979,OXYCODONE,X,GM,S,OF8721529,0,40,5853
07/21/2010,QUALITEST PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #4273 (OR),OR,1575,R573714,B658291,BUPRENORPHINE,T,ML,S,OF7966247,0,80,14870
10/06/2010,ENDO PHARMACEUTICALS INC,VALUEDRUGCO,WALMART PHARMACY #5238 (AR),AR,187,R490868,B241398,BUPRENORPHINE,S,ML,S,OF9423988,0,5,45095
05/28/2010,SUN PHARMA GLOBAL INC,KINRAY LLC,PUBLIX PHARMACY #2932 (KS),KS,398,R934780,B504646,OXYCODONE,X,ML,T,OF9298287,0,15,30350
06/24/2010,JANSSEN PHARMACEUTICALS INC,VALUEDRUGCO,CVS PHARMACY #5523 (NC),NC,320,R919442,B474755,MORPHINE,X,MCG,S,OF5708383,0,5,29309
09/08/2006,PURDUE PHARMA LP,HENRY SCHEIN INC,CVS PHARMACY #4509 (LA),LA,46,R979003,B328334,MORPHINE,X,GM,S,OF9484746,0,40,47906
02/06/2013,WATSON LABORATORIES INC,SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #7622 (RI),RI,173,R622891,B839174,BUPRENORPHINE,X,GM,S,OF3670501,0,30,39592
07/22/2008,QUALITEST PHARMACEUTICALS,KINRAY LLC,MAIN STREET PHARMACY #3493 (MD),MD,420,R377322,B419981,MORPHINE,X,ML,T,OF8117138,0,80,45523
02/21/2010,LANNETT COMPANY INC,DIRECT RX,MAIN STREET PHARMACY #3572 (TN),TN,187,R841992,B648137,METHADONE,T,GM,S,OF5659587,0,40,47504
09/14/2012,VINTAGE PHARMACEUTICALS LLC,ANDA INC,WALMART PHARMACY #6565 (SC),SC,470,R276294,B145979,CODEINE,P,ML,S,OF6923697,0,10,15021
05/03/2013,LANNETT COMPANY INC,KEYSOURCE MEDICAL INC,WINN-DIXIE PHARMACY #9193 (KY),KY,637,R899194,B554137,OXYMORPHONE,X,GM,T,OF9282312,0,5,45515
12/16/2013,PURDUE PHARMA LP,SMITH DRUG COMPANY,HEALTH MART PHARMACY #4740 (VA),VA,530,R100475,B147400,HYDROCODONE,P,MCG,S,OF5663460,0,20,28815
09/19/2009,HIKMA PHARMACEUTICALS,VALUEDRUGCO,MAIN STREET PHARMACY #3283 (NV),NV,119,R681915,B415674,CODEINE,P,GM,S,OF9971443,0,30,49093
02/19/2014,IMPAX LABORATORIES INC,HD SMITH WHOLESALE DRUG CO,HEALTH MART PHARMACY #9020 (AL),AL,39,R541589,B507308,HYDROCODONE,P,ML,S,OF3430469,0,10,27946
08/15/2011,WATSON LABORATORIES INC,GULF COAST MEDICAL SUPPLY,WALGREENS #7353 (OK),OK,607,R190457,B498585,HYDROCODONE,S,MCG,S,OF8896982,0,10,24987
10/02/2014,ACTAVIS PHARMA INC,BELLCO DRUG CORP,FAMILY CARE PHARMACY #3626 (OK),OK,269,R368466,B427602,CODEINE,X,ML,T,OF8149307,0,40,36286
02/09/2014,JANSSEN PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #5408 (OH),OH,115,R891838,B243034,MORPHINE,P,MCG,T,OF6915827,0,5,43248
07/22/2012,JANSSEN PHARMACEUTICALS INC,ANDA INC,CORNER DRUG STORE #5081 (AZ),AZ,142,R130711,B318773,CODEINE,T,MCG,S,OF1983904,0,30,10656
02/15/2014,JANSSEN PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,PEOPLES PHARMACY #7931 (CA),CA,279,R405097,B720323,CODEINE,S,MCG,S,OF7796380,0,5,15816
01/18/2013,WATSON LABORATORIES INC,KEYSOURCE MEDICAL INC,WALMART PHARMACY #8666 (MS),MS,450,R687028,B476395,HYDROCODONE,T,GM,T,OF4035972,0,5,42249
07/24/2011,PURDUE PHARMA LP,NATIONAL WHOLESALE DRUG CO INC,MEDICO PHARMACY #7141 (ND),ND,72,R919793,B107459,OXYCODONE,P,ML,T,OF8077700,0,80,24765
09/24/2006,AMNEAL PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #2234 (VA),VA,162,R987100,B100733,MORPHINE,T,MCG,S,OF8629234,0,80,38691
06/10/2012,PAR PHARMACEUTICAL INC,MORRIS & DICKSON CO LLC,QUALITY CARE PHARMACY #8648 (GA),GA,12,R227813,B905052,OXYMORPHONE,P,GM,T,OF2275172,0,30,4555
04/02/2012,PAR PHARMACEUTICAL INC,NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #8090 (LA),LA,180,R985182,B875804,FENTANYL,P,ML,S,OF8419611,0,20,21815
08/04/2008,SANDOZ INC,HENRY SCHEIN INC,CORNER DRUG STORE #8030 (TX),TX,481,R817342,B834688,MORPHINE,P,GM,T,OF5389583,0,40,106
12/16/2011,MALLINCKRODT LLC,MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #5688 (MI),MI,218,R903450,B277736,OXYCODONE,S,MCG,S,OF1022821,0,30,39838
09/03/2013,VINTAGE PHARMACEUTICALS LLC,KEYSOURCE MEDICAL INC,PUBLIX PHARMACY #2397 (LA),LA,246,R380237,B495219,BUPRENORPHINE,T,GM,S,OF9396563,0,40,13777
05/15/2012,SUN PHARMA GLOBAL INC,KINRAY LLC,CORNER DRUG STORE #6778 (SC),SC,421,R121959,B443828,METHADONE,X,MCG,S,OF3228447,0,10,4220
02/21/2012,RHODES TECHNOLOGIES,MCKESSON CORPORATION,COMMUNITY PHARMACY #8260 (MI),MI,293,R317431,B318462,CODEINE,S,MCG,T,OF5053683,0,15,2379
08/23/2011,CADISTA PHARMACEUTICALS INC,DIRECT RX,HOMETOWN PHARMACY #8469 (NC),NC,342,R812856,B643473,BUPRENORPHINE,P,MCG,S,OF2145345,0,20,44534
06/05/2013,ABBOTT LABORATORIES,KEYSOURCE MEDICAL INC,PUBLIX PHARMACY #1949 (PA),PA,311,R305695,B221987,METHADONE,S,GM,S,OF4814297,0,20,12933
07/16/2011,ABBOTT LABORATORIES,PENN PHARMACEUTICAL SERVICES INC,WINN-DIXIE PHARMACY #8561 (LA),LA,109,R533629,B685760,BUPRENORPHINE,P,MCG,T,OF1759002,0,20,10236
10/06/2008,VINTAGE PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,MEDICO PHARMACY #5392 (NC),NC,123,R699074,B679280,OXYCODONE,P,GM,T,OF8034927,0,20,3492
06/25/2008,ACTAVIS PHARMA INC,MIAMI-LUKEN INC,SUNRISE PHARMACY #9210 (IA),IA,549,R835263,B547865,OXYMORPHONE,X,GM,T,OF4716419,0,30,40673
07/07/2009,JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #2904 (CT),CT,700,R778658,B752613,BUPRENORPHINE,X,MCG,S,OF9798629,0,15,2431
03/30/2014,ABBOTT LABORATORIES,GULF COAST MEDICAL SUPPLY,HOMETOWN PHARMACY #2766 (WV),WV,1378,R855843,B103412,METHADONE,P,MCG,S,OF1185616,0,5,34948
07/25/2011,IMPAX LABORATORIES INC,AMERISOURCEBERGEN DRUG CORP,MAIN STREET PHARMACY #8987 (ME),ME,98,R974453,B267169,HYDROCODONE,P,GM,T,OF1531745,0,40,33285
01/14/2010,IMPAX LABORATORIES INC,MORRIS & DICKSON CO LLC,FAMILY CARE PHARMACY #5152 (MI),MI,193,R192929,B418203,OXYMORPHONE,S,GM,S,OF3193329,0,15,8843
03/01/2011,VINTAGE PHARMACEUTICALS LLC,MCKESSON CORPORATION,HOMETOWN PHARMACY #5569 (NC),NC,87,R262205,B876989,OXYCODONE,S,MCG,T,OF9143379,0,80,24427
04/25/2012,ACTAVIS PHARMA INC,ANDA INC,PUBLIX PHARMACY #4058 (WA),WA,55,R195496,B469361,OXYMORPHONE,T,ML,T,OF8026672,0,15,25042
07/03/2013,PURDUE PHARMA LP,VALUEDRUGCO,WINN-DIXIE PHARMACY #1912 (OH),OH,662,R374855,B427615,FENTANYL,T,MCG,T,OF5434058,0,80,5763
10/29/2007,LANNETT COMPANY INC,VALUEDRUGCO,HARRIS TEETER PHARMACY #8821 (AL),AL,121,R563145,B517427,FENTANYL,T,GM,S,OF6266968,0,5,17495
04/12/2011,WATSON LABORATORIES INC,SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #6004 (OK),OK,47,R142121,B607251,HYDROCODONE,X,GM,T,OF8602564,0,10,37951
05/06/2009,RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,WALGREENS #1373 (PA),PA,363,R488873,B296724,OXYMORPHONE,T,MCG,S,OF8591002,0,30,15070
04/17/2012,AMNEAL PHARMACEUTICALS LLC,MCKESSON CORPORATION,GOOD NEIGHBOR PHARMACY #3820 (AK),AK,78,R730385,B884480,OXYMORPHONE,S,GM,S,OF5259260,0,20,3246
01/27/2013,WATSON LABORATORIES INC,ANDA INC,CVS PHARMACY #2076 (VA),VA,416,R604441,B377214,BUPRENORPHINE,X,ML,T,OF3205751,0,40,23132
11/15/2013,ABBOTT LABORATORIES,DAKOTA DRUG INC,WALMART PHARMACY #6000 (VT),VT,179,R714291,B627989,OXYMORPHONE,T,MCG,S,OF5323523,0,40,24885
08/14/2013,MYLAN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,HEALTH MART PHARMACY #4191 (NV),NV,1526,R768161,B173447,BUPRENORPHINE,T,GM,S,OF1577744,0,40,24261
