timestamp,row_index,manufacturer,distributor,retailer,retailer_state,quantity,z_score,is_anomaly,disruption_injected,routing_method,alternate_route,routing_note
2026-04-21T12:12:34.389199,24,MALLINCKRODT LLC,BURLINGTON DRUG COMPANY INC,WALGREENS #6633 (WY),WY,2397.0,1.883,0,0,none,,Normal flow
2026-04-21T12:12:34.389258,25,PURDUE PHARMA LP,KEYSOURCE MEDICAL INC,CVS PHARMACY #5635 (IN),IN,20.0,0.735,0,0,none,,Normal flow
2026-04-21T12:12:34.389318,26,PAR PHARMACEUTICAL INC,PRESCRIPTION SUPPLY INC,MEDICO PHARMACY #9569 (MS),MS,113.0,0.613,0,0,none,,Normal flow
2026-04-21T12:12:34.389381,27,ACTAVIS PHARMA INC,DIRECT RX,PUBLIX PHARMACY #9833 (MI),MI,87.0,0.625,0,0,none,,Normal flow
2026-04-21T12:12:34.389440,28,CADISTA PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,HEALTH MART PHARMACY #5593 (KY),KY,171.0,0.516,0,0,none,,Normal flow
2026-04-21T12:12:34.389530,29,MYLAN PHARMACEUTICALS INC,DAKOTA DRUG INC,PUBLIX PHARMACY #6736 (TN),TN,324.0,0.331,0,0,none,,Normal flow
2026-04-21T12:12:34.389590,30,VINTAGE PHARMACEUTICALS LLC,DAKOTA DRUG INC,WINN-DIXIE PHARMACY #5889 (PA),PA,16.0,0.678,0,0,none,,Normal flow
2026-04-21T12:12:34.389653,31,PAR PHARMACEUTICAL INC,MORRIS & DICKSON CO LLC,MEDICO PHARMACY #5567 (DE),DE,259.0,0.38,0,0,none,,Normal flow
2026-04-21T12:12:34.389716,32,JANSSEN PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,HEALTH MART PHARMACY #2275 (DE),DE,438.0,0.16,0,0,none,,Normal flow
2026-04-21T12:12:34.389776,33,PURDUE PHARMA LP,MCKESSON CORPORATION,PEOPLES PHARMACY #6398 (AR),AR,2276.0,1.942,0,0,none,,Normal flow
2026-04-21T12:12:34.389837,34,AMNEAL PHARMACEUTICALS LLC,VALUEDRUGCO,COMMUNITY PHARMACY #5731 (WV),WV,81.0,0.621,0,0,none,,Normal flow
2026-04-21T12:12:34.389898,35,ABBOTT LABORATORIES,PRESCRIPTION SUPPLY INC,MEDICO PHARMACY #6745 (VA),VA,477.0,0.149,0,0,none,,Normal flow
2026-04-21T12:12:34.389959,36,QUALITEST PHARMACEUTICALS,AMERISOURCEBERGEN DRUG CORP,KROGER PHARMACY #4000 (NY),NY,316.0,0.337,0,0,none,,Normal flow
2026-04-21T12:12:34.390031,37,SUN PHARMA GLOBAL INC,VALUEDRUGCO,HOMETOWN PHARMACY #3383 (VT),VT,1747.0,1.349,0,0,none,,Normal flow
2026-04-21T12:12:34.390096,38,ENDO PHARMACEUTICALS INC,CARDINAL HEALTH INC,MEDICO PHARMACY #9170 (VT),VT,221.0,0.478,0,0,none,,Normal flow
2026-04-21T12:12:34.390230,39,MYLAN PHARMACEUTICALS INC,ANDA INC,CVS PHARMACY #3927 (SD),SD,316.0,0.357,0,0,none,,Normal flow
2026-04-21T12:12:34.390402,40,TEVA PHARMACEUTICALS USA INC,PENN PHARMACEUTICAL SERVICES INC,COMMUNITY PHARMACY #2840 (VT),VT,159.0,0.541,0,0,none,,Normal flow
2026-04-21T12:12:34.390601,41,WATSON LABORATORIES INC,SMITH DRUG COMPANY,PUBLIX PHARMACY #2769 (WV),WV,379.0,0.264,0,0,none,,Normal flow
2026-04-21T12:12:34.390723,42,LANNETT COMPANY INC,GULF COAST MEDICAL SUPPLY,KROGER PHARMACY #3523 (OH),OH,224.0,0.452,0,0,none,,Normal flow
2026-04-21T12:12:34.390826,43,TEVA PHARMACEUTICALS USA INC,SMITH DRUG COMPANY,RITE AID #6549 (IN),IN,280.0,0.376,0,0,none,,Normal flow
2026-04-21T12:12:34.390981,44,SANDOZ INC,HENRY SCHEIN INC,GOOD NEIGHBOR PHARMACY #6959 (AZ),AZ,50.0,0.659,0,0,none,,Normal flow
2026-04-21T12:12:34.391052,45,CADISTA PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,COMMUNITY PHARMACY #2294 (TN),TN,173.0,0.493,0,0,none,,Normal flow
2026-04-21T12:12:34.406173,46,VINTAGE PHARMACEUTICALS LLC,BURLINGTON DRUG COMPANY INC,WALGREENS #6424 (DE),DE,0.0,99.0,1,1,ImmuneEngine,VINTAGE PHARMACEUTICALS LLC → DAKOTA DRUG INC → WALGREENS #6424 (DE),Activate alternate route via [DAKOTA DRUG INC]
2026-04-21T12:12:34.406299,47,HIKMA PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,PEOPLES PHARMACY #1524 (OK),OK,72.0,0.615,0,0,none,,Normal flow
2026-04-21T12:12:34.406378,48,VINTAGE PHARMACEUTICALS LLC,DAKOTA DRUG INC,WALGREENS #5346 (IN),IN,284.0,0.333,0,0,none,,Normal flow
2026-04-21T12:12:34.406448,49,SANDOZ INC,CARDINAL HEALTH INC,QUALITY CARE PHARMACY #6888 (MO),MO,336.0,0.261,0,0,none,,Normal flow
2026-04-21T12:12:34.406515,50,VINTAGE PHARMACEUTICALS LLC,PRESCRIPTION SUPPLY INC,CVS PHARMACY #4109 (IN),IN,25.0,0.667,0,0,none,,Normal flow
2026-04-21T12:12:34.406582,51,PAR PHARMACEUTICAL INC,CARDINAL HEALTH INC,QUALITY CARE PHARMACY #4445 (LA),LA,82.0,0.582,0,0,none,,Normal flow
2026-04-21T12:12:34.406647,52,WATSON LABORATORIES INC,ANDA INC,MEDICO PHARMACY #7114 (NJ),NJ,357.0,0.208,0,0,none,,Normal flow
2026-04-21T12:12:34.406710,53,JANSSEN PHARMACEUTICALS INC,DIRECT RX,CVS PHARMACY #8170 (MT),MT,12.0,0.67,0,0,none,,Normal flow
2026-04-21T12:12:34.406771,54,WATSON LABORATORIES INC,DAKOTA DRUG INC,QUALITY CARE PHARMACY #5230 (NM),NM,52.0,0.594,0,0,none,,Normal flow
2026-04-21T12:12:34.406892,55,TEVA PHARMACEUTICALS USA INC,ANDA INC,WINN-DIXIE PHARMACY #3668 (MS),MS,26.0,0.625,0,0,none,,Normal flow
2026-04-21T12:12:34.407114,56,MYLAN PHARMACEUTICALS INC,DIRECT RX,GOOD NEIGHBOR PHARMACY #6888 (ME),ME,127.0,0.465,0,0,none,,Normal flow
2026-04-21T12:12:34.407418,57,SUN PHARMA GLOBAL INC,BELLCO DRUG CORP,VILLAGE PHARMACY #1845 (LA),LA,28.0,0.587,0,0,none,,Normal flow
2026-04-21T12:12:34.407583,58,MALLINCKRODT LLC,BURLINGTON DRUG COMPANY INC,QUALITY CARE PHARMACY #8690 (FL),FL,254.0,0.281,0,0,none,,Normal flow
2026-04-21T12:12:34.407678,59,PAR PHARMACEUTICAL INC,DAKOTA DRUG INC,VILLAGE PHARMACY #3411 (VT),VT,51.0,0.529,0,0,none,,Normal flow
2026-04-21T12:12:34.407792,60,MYLAN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,WALMART PHARMACY #5079 (LA),LA,121.0,0.402,0,0,none,,Normal flow
2026-04-21T12:12:34.407928,61,CADISTA PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,PEOPLES PHARMACY #7655 (TX),TX,176.0,0.328,0,0,none,,Normal flow
2026-04-21T12:12:34.408013,62,ACTAVIS PHARMA INC,PENN PHARMACEUTICAL SERVICES INC,CVS PHARMACY #2572 (VT),VT,40.0,0.51,0,0,none,,Normal flow
2026-04-21T12:12:34.408104,63,ACTAVIS PHARMA INC,PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #5849 (IL),IL,113.0,0.428,0,0,none,,Normal flow
2026-04-21T12:12:34.408217,64,WATSON LABORATORIES INC,HD SMITH WHOLESALE DRUG CO,CORNER DRUG STORE #4372 (CT),CT,180.0,0.277,0,0,none,,Normal flow
2026-04-21T12:12:34.408313,65,LANNETT COMPANY INC,KINRAY LLC,MAIN STREET PHARMACY #9550 (WV),WV,107.0,0.427,0,0,none,,Normal flow
2026-04-21T12:12:34.408404,66,ABBOTT LABORATORIES,KINRAY LLC,HEALTH MART PHARMACY #1058 (ME),ME,20.0,0.572,0,0,none,,Normal flow
2026-04-21T12:12:34.408477,67,LANNETT COMPANY INC,BURLINGTON DRUG COMPANY INC,PEOPLES PHARMACY #4186 (SD),SD,104.0,0.397,0,0,none,,Normal flow
2026-04-21T12:12:34.408543,68,VINTAGE PHARMACEUTICALS LLC,PENN PHARMACEUTICAL SERVICES INC,MEDICO PHARMACY #6745 (VA),VA,441.0,0.281,0,0,none,,Normal flow
2026-04-21T12:12:34.408607,69,PURDUE PHARMA LP,GULF COAST MEDICAL SUPPLY,GOOD NEIGHBOR PHARMACY #2150 (CA),CA,114.0,0.382,0,0,none,,Normal flow
2026-04-21T12:12:34.408670,70,AMNEAL PHARMACEUTICALS LLC,KEYSOURCE MEDICAL INC,CVS PHARMACY #6755 (TN),TN,766.0,0.923,0,0,none,,Normal flow
2026-04-21T12:12:34.408735,71,SANDOZ INC,MIAMI-LUKEN INC,WINN-DIXIE PHARMACY #8116 (AK),AK,462.0,0.297,0,0,none,,Normal flow
2026-04-21T12:12:34.408797,72,JANSSEN PHARMACEUTICALS INC,CARDINAL HEALTH INC,MEDICO PHARMACY #3597 (MD),MD,117.0,0.405,0,0,none,,Normal flow
2026-04-21T12:12:34.408859,73,IMPAX LABORATORIES INC,BELLCO DRUG CORP,MAIN STREET PHARMACY #7936 (WY),WY,75.0,0.482,0,0,none,,Normal flow
2026-04-21T12:12:34.408921,74,PAR PHARMACEUTICAL INC,HD SMITH WHOLESALE DRUG CO,CVS PHARMACY #4109 (IN),IN,793.0,0.957,0,0,none,,Normal flow
2026-04-21T12:12:34.408983,75,MYLAN PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,WALMART PHARMACY #6353 (HI),HI,13.0,0.64,0,0,none,,Normal flow
2026-04-21T12:12:34.422179,76,HIKMA PHARMACEUTICALS,DIRECT RX,HARRIS TEETER PHARMACY #6503 (MO),MO,0.0,99.0,1,1,ImmuneEngine,HIKMA PHARMACEUTICALS → VALUEDRUGCO → HARRIS TEETER PHARMACY #6503 (MO),Activate alternate route via [VALUEDRUGCO]
2026-04-21T12:12:34.422310,77,RHODES TECHNOLOGIES,VALUEDRUGCO,RITE AID #9075 (AR),AR,629.0,0.864,0,0,none,,Normal flow
2026-04-21T12:12:34.422386,78,LANNETT COMPANY INC,MCKESSON CORPORATION,CVS PHARMACY #2372 (MO),MO,747.0,1.114,0,0,none,,Normal flow
2026-04-21T12:12:34.422455,79,QUALITEST PHARMACEUTICALS,KEYSOURCE MEDICAL INC,PUBLIX PHARMACY #5706 (MT),MT,79.0,0.529,0,0,none,,Normal flow
2026-04-21T12:12:34.422549,80,PAR PHARMACEUTICAL INC,KINRAY LLC,FAMILY CARE PHARMACY #4660 (NY),NY,1340.0,2.369,0,0,none,,Normal flow
2026-04-21T12:12:34.422790,81,ENDO PHARMACEUTICALS INC,KINRAY LLC,FAMILY CARE PHARMACY #9427 (IN),IN,78.0,0.542,0,0,none,,Normal flow
2026-04-21T12:12:34.438397,82,ABBOTT LABORATORIES,KEYSOURCE MEDICAL INC,SUNRISE PHARMACY #9849 (CO),CO,1715.0,2.892,1,0,ImmuneEngine,ABBOTT LABORATORIES → CARDINAL HEALTH INC → SUNRISE PHARMACY #9849 (CO),Activate alternate route via [CARDINAL HEALTH INC]
2026-04-21T12:12:34.438548,83,TEVA PHARMACEUTICALS USA INC,VALUEDRUGCO,PEOPLES PHARMACY #1060 (VT),VT,203.0,0.301,0,0,none,,Normal flow
2026-04-21T12:12:34.438634,84,WATSON LABORATORIES INC,CARDINAL HEALTH INC,MEDICO PHARMACY #2698 (GA),GA,244.0,0.206,0,0,none,,Normal flow
2026-04-21T12:12:34.438740,85,PURDUE PHARMA LP,MCKESSON CORPORATION,COMMUNITY PHARMACY #9245 (IN),IN,392.0,0.229,0,0,none,,Normal flow
2026-04-21T12:12:34.438812,86,HIKMA PHARMACEUTICALS,MCKESSON CORPORATION,CVS PHARMACY #5523 (NY),NY,146.0,0.415,0,0,none,,Normal flow
2026-04-21T12:12:34.438880,87,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,PUBLIX PHARMACY #9432 (NV),NV,87.0,0.548,0,0,none,,Normal flow
2026-04-21T12:12:34.454392,88,QUALITEST PHARMACEUTICALS,VALUEDRUGCO,VILLAGE PHARMACY #8189 (MD),MD,2345.0,4.186,1,0,ImmuneEngine,QUALITEST PHARMACEUTICALS → HENRY SCHEIN INC → VILLAGE PHARMACY #8189 (MD),Activate alternate route via [HENRY SCHEIN INC]
2026-04-21T12:12:34.454556,89,JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,QUALITY CARE PHARMACY #5919 (ID),ID,76.0,0.524,0,0,none,,Normal flow
2026-04-21T12:12:34.454647,90,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,SUNRISE PHARMACY #7972 (SD),SD,1142.0,1.813,0,0,none,,Normal flow
2026-04-21T12:12:34.454755,91,TEVA PHARMACEUTICALS USA INC,PENN PHARMACEUTICAL SERVICES INC,CVS PHARMACY #2408 (IN),IN,222.0,0.219,0,0,none,,Normal flow
2026-04-21T12:12:34.454853,92,LANNETT COMPANY INC,MORRIS & DICKSON CO LLC,MEDICO PHARMACY #6767 (NC),NC,1485.0,2.371,0,0,none,,Normal flow
2026-04-21T12:12:34.454928,93,IMPAX LABORATORIES INC,PENN PHARMACEUTICAL SERVICES INC,CVS PHARMACY #7614 (TX),TX,422.0,0.153,0,0,none,,Normal flow
2026-04-21T12:12:34.454998,94,QUALITEST PHARMACEUTICALS,CARDINAL HEALTH INC,HARRIS TEETER PHARMACY #9191 (IN),IN,27.0,0.66,0,0,none,,Normal flow
2026-04-21T12:12:34.455067,95,JANSSEN PHARMACEUTICALS INC,CARDINAL HEALTH INC,FAMILY CARE PHARMACY #4016 (NH),NH,695.0,0.707,0,0,none,,Normal flow
2026-04-21T12:12:34.455132,96,RHODES TECHNOLOGIES,PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #8533 (OH),OH,1012.0,1.304,0,0,none,,Normal flow
2026-04-21T12:12:34.470795,97,ENDO PHARMACEUTICALS INC,MCKESSON CORPORATION,PEOPLES PHARMACY #1264 (WA),WA,5244.0,5.684,1,0,ImmuneEngine,ENDO PHARMACEUTICALS INC → SMITH DRUG COMPANY → PEOPLES PHARMACY #1264 (WA),Activate alternate route via [SMITH DRUG COMPANY]
2026-04-21T12:12:34.470937,98,MYLAN PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,HOMETOWN PHARMACY #7685 (TN),TN,153.0,0.384,0,0,none,,Normal flow
2026-04-21T12:12:34.471026,99,WATSON LABORATORIES INC,PENN PHARMACEUTICAL SERVICES INC,WALMART PHARMACY #5079 (LA),LA,450.0,0.034,0,0,none,,Normal flow
2026-04-21T12:12:34.471114,100,IMPAX LABORATORIES INC,VALUEDRUGCO,QUALITY CARE PHARMACY #8648 (GA),GA,113.0,0.43,0,0,none,,Normal flow
2026-04-21T12:12:34.471190,101,PURDUE PHARMA LP,ANDA INC,HOMETOWN PHARMACY #1799 (WA),WA,892.0,0.478,0,0,none,,Normal flow
2026-04-21T12:12:34.471263,102,SANDOZ INC,PENN PHARMACEUTICAL SERVICES INC,MEDICO PHARMACY #4938 (TN),TN,236.0,0.309,0,0,none,,Normal flow
2026-04-21T12:12:34.471333,103,MALLINCKRODT LLC,SMITH DRUG COMPANY,COMMUNITY PHARMACY #9484 (NV),NV,1024.0,0.614,0,0,none,,Normal flow
2026-04-21T12:12:34.471401,104,ENDO PHARMACEUTICALS INC,ANDA INC,GOOD NEIGHBOR PHARMACY #5885 (GA),GA,131.0,0.452,0,0,none,,Normal flow
2026-04-21T12:12:34.471470,105,LANNETT COMPANY INC,PENN PHARMACEUTICAL SERVICES INC,GOOD NEIGHBOR PHARMACY #6434 (CT),CT,745.0,0.264,0,0,none,,Normal flow
2026-04-21T12:12:34.487331,106,LANNETT COMPANY INC,MCKESSON CORPORATION,VILLAGE PHARMACY #2827 (MO),MO,0.0,99.0,1,1,ImmuneEngine,LANNETT COMPANY INC → BELLCO DRUG CORP → VILLAGE PHARMACY #2827 (MO),Activate alternate route via [BELLCO DRUG CORP]
2026-04-21T12:12:34.487495,107,MYLAN PHARMACEUTICALS INC,MCKESSON CORPORATION,VILLAGE PHARMACY #8618 (LA),LA,367.0,0.196,0,0,none,,Normal flow
2026-04-21T12:12:34.487587,108,RHODES TECHNOLOGIES,VALUEDRUGCO,CVS PHARMACY #3583 (NM),NM,633.0,0.11,0,0,none,,Normal flow
2026-04-21T12:12:34.487666,109,ENDO PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,VILLAGE PHARMACY #5786 (ME),ME,374.0,0.21,0,0,none,,Normal flow
2026-04-21T12:12:34.487741,110,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,FAMILY CARE PHARMACY #2747 (SD),SD,702.0,0.175,0,0,none,,Normal flow
2026-04-21T12:12:34.487851,111,IMPAX LABORATORIES INC,HENRY SCHEIN INC,MAIN STREET PHARMACY #3572 (TN),TN,108.0,0.543,0,0,none,,Normal flow
2026-04-21T12:12:34.487925,112,VINTAGE PHARMACEUTICALS LLC,MORRIS & DICKSON CO LLC,HEALTH MART PHARMACY #2149 (CA),CA,449.0,0.14,0,0,none,,Normal flow
2026-04-21T12:12:34.487990,113,AMNEAL PHARMACEUTICALS LLC,MCKESSON CORPORATION,CORNER DRUG STORE #1891 (MT),MT,287.0,0.339,0,0,none,,Normal flow
2026-04-21T12:12:34.488054,114,HIKMA PHARMACEUTICALS,HD SMITH WHOLESALE DRUG CO,WALMART PHARMACY #3189 (ID),ID,542.0,0.042,0,0,none,,Normal flow
2026-04-21T12:12:34.488117,115,MYLAN PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,KROGER PHARMACY #4811 (WI),WI,126.0,0.549,0,0,none,,Normal flow
2026-04-21T12:12:34.488205,116,ABBOTT LABORATORIES,HENRY SCHEIN INC,MEDICO PHARMACY #6550 (VA),VA,200.0,0.459,0,0,none,,Normal flow
2026-04-21T12:12:34.488302,117,RHODES TECHNOLOGIES,BURLINGTON DRUG COMPANY INC,PUBLIX PHARMACY #1528 (VA),VA,105.0,0.575,0,0,none,,Normal flow
2026-04-21T12:12:34.488376,118,QUALITEST PHARMACEUTICALS,BURLINGTON DRUG COMPANY INC,SUNRISE PHARMACY #8451 (IN),IN,391.0,0.237,0,0,none,,Normal flow
2026-04-21T12:12:34.488444,119,PURDUE PHARMA LP,CARDINAL HEALTH INC,WALMART PHARMACY #2320 (VA),VA,746.0,0.182,0,0,none,,Normal flow
2026-04-21T12:12:34.488521,120,JANSSEN PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,MAIN STREET PHARMACY #8342 (MI),MI,529.0,0.086,0,0,none,,Normal flow
2026-04-21T12:12:34.488588,121,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,COMMUNITY PHARMACY #8076 (MA),MA,1281.0,0.805,0,0,none,,Normal flow
2026-04-21T12:12:34.488653,122,RHODES TECHNOLOGIES,VALUEDRUGCO,SUNRISE PHARMACY #5169 (MA),MA,189.0,0.515,0,0,none,,Normal flow
2026-04-21T12:12:34.488716,123,RHODES TECHNOLOGIES,NATIONAL WHOLESALE DRUG CO INC,GOOD NEIGHBOR PHARMACY #8085 (OH),OH,1093.0,0.57,0,0,none,,Normal flow
2026-04-21T12:12:34.488780,124,PAR PHARMACEUTICAL INC,HENRY SCHEIN INC,CORNER DRUG STORE #3499 (SD),SD,120.0,0.613,0,0,none,,Normal flow
2026-04-21T12:12:34.488843,125,PURDUE PHARMA LP,HENRY SCHEIN INC,CVS PHARMACY #7538 (LA),LA,41.0,0.708,0,0,none,,Normal flow
2026-04-21T12:12:34.488906,126,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #7697 (PA),PA,586.0,0.04,0,0,none,,Normal flow
2026-04-21T12:12:34.488969,127,AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,WALMART PHARMACY #8760 (TX),TX,167.0,0.555,0,0,none,,Normal flow
2026-04-21T12:12:34.489033,128,LANNETT COMPANY INC,HD SMITH WHOLESALE DRUG CO,CVS PHARMACY #6761 (LA),LA,48.0,0.682,0,0,none,,Normal flow
2026-04-21T12:12:34.489096,129,TEVA PHARMACEUTICALS USA INC,MORRIS & DICKSON CO LLC,RITE AID #3418 (WV),WV,270.0,0.401,0,0,none,,Normal flow
2026-04-21T12:12:34.489158,130,QUALITEST PHARMACEUTICALS,KINRAY LLC,QUALITY CARE PHARMACY #3729 (OH),OH,1222.0,0.724,0,0,none,,Normal flow
2026-04-21T12:12:34.489221,131,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,WALGREENS #1766 (IA),IA,77.0,0.633,0,0,none,,Normal flow
2026-04-21T12:12:34.489283,132,WATSON LABORATORIES INC,BELLCO DRUG CORP,FAMILY CARE PHARMACY #4012 (VA),VA,362.0,0.295,0,0,none,,Normal flow
2026-04-21T12:12:34.489345,133,WATSON LABORATORIES INC,GULF COAST MEDICAL SUPPLY,WINN-DIXIE PHARMACY #4694 (OH),OH,240.0,0.415,0,0,none,,Normal flow
2026-04-21T12:12:34.489407,134,QUALITEST PHARMACEUTICALS,PENN PHARMACEUTICAL SERVICES INC,WALGREENS #6346 (OH),OH,120.0,0.561,0,0,none,,Normal flow
2026-04-21T12:12:34.489468,135,HIKMA PHARMACEUTICALS,MORRIS & DICKSON CO LLC,QUALITY CARE PHARMACY #8648 (GA),GA,233.0,0.421,0,0,none,,Normal flow
2026-04-21T12:12:34.502844,136,PURDUE PHARMA LP,BELLCO DRUG CORP,FAMILY CARE PHARMACY #1947 (OK),OK,0.0,99.0,1,1,ImmuneEngine,PURDUE PHARMA LP → GULF COAST MEDICAL SUPPLY → FAMILY CARE PHARMACY #1947 (OK),Activate alternate route via [GULF COAST MEDICAL SUPPLY]
2026-04-21T12:12:34.502978,137,WATSON LABORATORIES INC,KEYSOURCE MEDICAL INC,HARRIS TEETER PHARMACY #5423 (HI),HI,945.0,0.446,0,0,none,,Normal flow
2026-04-21T12:12:34.503062,138,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,MAIN STREET PHARMACY #1667 (MI),MI,54.0,0.652,0,0,none,,Normal flow
2026-04-21T12:12:34.503172,139,WATSON LABORATORIES INC,KINRAY LLC,WALMART PHARMACY #2320 (VA),VA,58.0,0.646,0,0,none,,Normal flow
2026-04-21T12:12:34.503256,140,PURDUE PHARMA LP,CARDINAL HEALTH INC,HEALTH MART PHARMACY #9760 (RI),RI,42.0,0.638,0,0,none,,Normal flow
2026-04-21T12:12:34.503330,141,CADISTA PHARMACEUTICALS INC,VALUEDRUGCO,MAIN STREET PHARMACY #2581 (NE),NE,124.0,0.534,0,0,none,,Normal flow
