date,manufacturer,distributor,retailer,retailer_state,quantity,disruption_injected
2026-03-26,LANNETT COMPANY INC,GULF COAST MEDICAL SUPPLY,FAMILY CARE PHARMACY #5938 (AK),AK,112,0
2026-03-26,PURDUE PHARMA LP,PENN PHARMACEUTICAL SERVICES INC,SUNRISE PHARMACY #7243 (WV),WV,184,0
2026-03-26,CADISTA PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,WALMART PHARMACY #2519 (SC),SC,287,0
2026-03-26,MYLAN PHARMACEUTICALS INC,VALUEDRUGCO,PEOPLES PHARMACY #7922 (SC),SC,135,0
2026-03-26,PAR PHARMACEUTICAL INC,HD SMITH WHOLESALE DRUG CO,KROGER PHARMACY #6614 (PA),PA,103,0
2026-03-26,ACTAVIS PHARMA INC,VALUEDRUGCO,HARRIS TEETER PHARMACY #5940 (NM),NM,493,0
2026-03-26,SUN PHARMA GLOBAL INC,BELLCO DRUG CORP,QUALITY CARE PHARMACY #8298 (CO),CO,1498,0
2026-03-26,IMPAX LABORATORIES INC,MORRIS & DICKSON CO LLC,HARRIS TEETER PHARMACY #9191 (IN),IN,37,0
2026-03-26,SANDOZ INC,KINRAY LLC,QUALITY CARE PHARMACY #6447 (GA),GA,21,0
2026-03-26,HIKMA PHARMACEUTICALS,MIAMI-LUKEN INC,FAMILY CARE PHARMACY #9198 (MS),MS,207,0
2026-03-26,MALLINCKRODT LLC,PRESCRIPTION SUPPLY INC,CORNER DRUG STORE #1973 (TX),TX,982,0
2026-03-26,ENDO PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,COMMUNITY PHARMACY #4270 (AR),AR,1811,0
2026-03-26,WATSON LABORATORIES INC,HD SMITH WHOLESALE DRUG CO,WALMART PHARMACY #9182 (AZ),AZ,152,0
2026-03-26,PURDUE PHARMA LP,AMERISOURCEBERGEN DRUG CORP,PUBLIX PHARMACY #2993 (RI),RI,285,0
2026-03-26,CADISTA PHARMACEUTICALS INC,DIRECT RX,WALGREENS #4408 (TN),TN,408,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,KROGER PHARMACY #9142 (OH),OH,54,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,HENRY SCHEIN INC,CORNER DRUG STORE #1737 (MS),MS,230,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,GULF COAST MEDICAL SUPPLY,PEOPLES PHARMACY #9606 (WI),WI,309,0
2026-03-26,PURDUE PHARMA LP,HENRY SCHEIN INC,FAMILY CARE PHARMACY #9932 (MI),MI,787,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,PENN PHARMACEUTICAL SERVICES INC,MEDICO PHARMACY #9056 (NY),NY,609,0
2026-03-26,QUALITEST PHARMACEUTICALS,KEYSOURCE MEDICAL INC,GOOD NEIGHBOR PHARMACY #8685 (FL),FL,1309,0
2026-03-26,LANNETT COMPANY INC,DAKOTA DRUG INC,CORNER DRUG STORE #3522 (WI),WI,1849,0
2026-03-26,SANDOZ INC,KINRAY LLC,PEOPLES PHARMACY #5739 (CO),CO,149,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,SUNRISE PHARMACY #1038 (NJ),NJ,32,0
2026-03-26,WATSON LABORATORIES INC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #9124 (DE),DE,774,0
2026-03-26,MALLINCKRODT LLC,AMERISOURCEBERGEN DRUG CORP,MEDICO PHARMACY #7458 (TX),TX,97,0
2026-03-26,SANDOZ INC,MCKESSON CORPORATION,WINN-DIXIE PHARMACY #2264 (WI),WI,13,0
2026-03-26,ABBOTT LABORATORIES,VALUEDRUGCO,CORNER DRUG STORE #8437 (OK),OK,619,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,GOOD NEIGHBOR PHARMACY #6129 (NC),NC,98,0
2026-03-26,LANNETT COMPANY INC,HENRY SCHEIN INC,CVS PHARMACY #3927 (SD),SD,146,0
2026-03-26,CADISTA PHARMACEUTICALS INC,DIRECT RX,WALGREENS #9211 (LA),LA,125,0
2026-03-26,ENDO PHARMACEUTICALS INC,SMITH DRUG COMPANY,WALMART PHARMACY #9405 (VA),VA,131,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,DIRECT RX,WALMART PHARMACY #9392 (NM),NM,52,0
2026-03-26,MYLAN PHARMACEUTICALS INC,SMITH DRUG COMPANY,WINN-DIXIE PHARMACY #8641 (RI),RI,467,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,KINRAY LLC,HARRIS TEETER PHARMACY #8771 (MT),MT,148,0
2026-03-26,PAR PHARMACEUTICAL INC,MORRIS & DICKSON CO LLC,MEDICO PHARMACY #9056 (NY),NY,39,0
2026-03-26,ABBOTT LABORATORIES,GULF COAST MEDICAL SUPPLY,VILLAGE PHARMACY #3873 (PA),PA,175,0
2026-03-26,MYLAN PHARMACEUTICALS INC,BURLINGTON DRUG COMPANY INC,GOOD NEIGHBOR PHARMACY #6888 (ME),ME,154,0
2026-03-26,ABBOTT LABORATORIES,PRESCRIPTION SUPPLY INC,COMMUNITY PHARMACY #9318 (AL),AL,20,0
2026-03-26,QUALITEST PHARMACEUTICALS,HENRY SCHEIN INC,KROGER PHARMACY #2900 (MI),MI,464,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,CARDINAL HEALTH INC,COMMUNITY PHARMACY #3304 (VT),VT,265,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,MEDICO PHARMACY #4239 (VT),VT,341,0
2026-03-26,RHODES TECHNOLOGIES,VALUEDRUGCO,RITE AID #7142 (NJ),NJ,120,0
2026-03-26,ACTAVIS PHARMA INC,SMITH DRUG COMPANY,WINN-DIXIE PHARMACY #4027 (MA),MA,291,0
2026-03-26,QUALITEST PHARMACEUTICALS,VALUEDRUGCO,VILLAGE PHARMACY #8630 (CT),CT,362,0
2026-03-26,ENDO PHARMACEUTICALS INC,MCKESSON CORPORATION,MEDICO PHARMACY #6108 (SC),SC,63,0
2026-03-26,CADISTA PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,HEALTH MART PHARMACY #4286 (UT),UT,134,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,PENN PHARMACEUTICAL SERVICES INC,PEOPLES PHARMACY #5301 (NH),NH,118,0
2026-03-26,QUALITEST PHARMACEUTICALS,KEYSOURCE MEDICAL INC,COMMUNITY PHARMACY #2313 (LA),LA,789,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,FAMILY CARE PHARMACY #2866 (NM),NM,199,0
2026-03-26,ABBOTT LABORATORIES,MIAMI-LUKEN INC,CORNER DRUG STORE #3031 (NE),NE,507,0
2026-03-26,CADISTA PHARMACEUTICALS INC,MCKESSON CORPORATION,HARRIS TEETER PHARMACY #2079 (NH),NH,271,0
2026-03-26,CADISTA PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,HOMETOWN PHARMACY #7940 (AK),AK,478,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,KROGER PHARMACY #6620 (WA),WA,41,0
2026-03-26,IMPAX LABORATORIES INC,MORRIS & DICKSON CO LLC,CORNER DRUG STORE #9561 (PA),PA,127,0
2026-03-26,SUN PHARMA GLOBAL INC,GULF COAST MEDICAL SUPPLY,HARRIS TEETER PHARMACY #8771 (MT),MT,579,0
2026-03-26,MYLAN PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,HOMETOWN PHARMACY #9431 (CA),CA,1474,0
2026-03-26,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,HEALTH MART PHARMACY #6716 (UT),UT,58,0
2026-03-26,WATSON LABORATORIES INC,SMITH DRUG COMPANY,CVS PHARMACY #5635 (IN),IN,189,0
2026-03-26,ABBOTT LABORATORIES,DAKOTA DRUG INC,PEOPLES PHARMACY #4578 (MS),MS,846,0
2026-03-26,LANNETT COMPANY INC,VALUEDRUGCO,PUBLIX PHARMACY #5099 (NY),NY,466,0
2026-03-26,MALLINCKRODT LLC,MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #2790 (PA),PA,1985,0
2026-03-26,PURDUE PHARMA LP,PENN PHARMACEUTICAL SERVICES INC,WINN-DIXIE PHARMACY #5194 (FL),FL,178,0
2026-03-26,ACTAVIS PHARMA INC,NATIONAL WHOLESALE DRUG CO INC,MAIN STREET PHARMACY #5125 (CO),CO,418,0
2026-03-26,CADISTA PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,MAIN STREET PHARMACY #9116 (NJ),NJ,49,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,DIRECT RX,CORNER DRUG STORE #6039 (NH),NH,131,0
2026-03-26,RHODES TECHNOLOGIES,GULF COAST MEDICAL SUPPLY,QUALITY CARE PHARMACY #6882 (CA),CA,17,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,WALGREENS #7531 (NY),NY,7,0
2026-03-26,LANNETT COMPANY INC,BELLCO DRUG CORP,HOMETOWN PHARMACY #5252 (IA),IA,410,0
2026-03-26,RHODES TECHNOLOGIES,MIAMI-LUKEN INC,PEOPLES PHARMACY #2660 (NC),NC,63,0
2026-03-26,ENDO PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,WALGREENS #5346 (IN),IN,1905,0
2026-03-26,ACTAVIS PHARMA INC,GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #6128 (IL),IL,8,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,PENN PHARMACEUTICAL SERVICES INC,CVS PHARMACY #7422 (NE),NE,361,0
2026-03-26,PURDUE PHARMA LP,BURLINGTON DRUG COMPANY INC,WINN-DIXIE PHARMACY #7794 (AZ),AZ,619,0
2026-03-26,QUALITEST PHARMACEUTICALS,AMERISOURCEBERGEN DRUG CORP,PUBLIX PHARMACY #6713 (MA),MA,2808,0
2026-03-26,ENDO PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,SUNRISE PHARMACY #5581 (TN),TN,204,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,BELLCO DRUG CORP,SUNRISE PHARMACY #7649 (PA),PA,252,0
2026-03-26,PAR PHARMACEUTICAL INC,PRESCRIPTION SUPPLY INC,WALGREENS #7611 (WA),WA,492,0
2026-03-26,HIKMA PHARMACEUTICALS,CARDINAL HEALTH INC,CORNER DRUG STORE #6232 (MI),MI,523,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,HENRY SCHEIN INC,MAIN STREET PHARMACY #8577 (OR),OR,308,0
2026-03-26,MYLAN PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,KROGER PHARMACY #3523 (OH),OH,46,0
2026-03-26,WATSON LABORATORIES INC,KINRAY LLC,CORNER DRUG STORE #8392 (NM),NM,197,0
2026-03-26,PAR PHARMACEUTICAL INC,CARDINAL HEALTH INC,CVS PHARMACY #7762 (OK),OK,1699,0
2026-03-26,RHODES TECHNOLOGIES,KEYSOURCE MEDICAL INC,CORNER DRUG STORE #1453 (OH),OH,103,0
2026-03-26,ENDO PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,HOMETOWN PHARMACY #4042 (MN),MN,59,0
2026-03-26,CADISTA PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,WINN-DIXIE PHARMACY #5194 (FL),FL,136,0
2026-03-26,RHODES TECHNOLOGIES,KINRAY LLC,VILLAGE PHARMACY #2851 (TX),TX,68,0
2026-03-26,CADISTA PHARMACEUTICALS INC,HENRY SCHEIN INC,VILLAGE PHARMACY #3051 (SD),SD,178,0
2026-03-26,MALLINCKRODT LLC,GULF COAST MEDICAL SUPPLY,CORNER DRUG STORE #1891 (MT),MT,762,0
2026-03-26,QUALITEST PHARMACEUTICALS,AMERISOURCEBERGEN DRUG CORP,QUALITY CARE PHARMACY #3338 (WV),WV,137,0
2026-03-26,MALLINCKRODT LLC,MCKESSON CORPORATION,VILLAGE PHARMACY #9397 (NC),NC,980,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,WINN-DIXIE PHARMACY #3113 (CO),CO,58,0
2026-03-26,WATSON LABORATORIES INC,GULF COAST MEDICAL SUPPLY,MAIN STREET PHARMACY #1915 (AZ),AZ,43,0
2026-03-26,HIKMA PHARMACEUTICALS,CARDINAL HEALTH INC,GOOD NEIGHBOR PHARMACY #7994 (IN),IN,89,0
2026-03-26,SUN PHARMA GLOBAL INC,MCKESSON CORPORATION,CORNER DRUG STORE #6008 (HI),HI,556,0
2026-03-26,SUN PHARMA GLOBAL INC,GULF COAST MEDICAL SUPPLY,QUALITY CARE PHARMACY #9242 (KY),KY,27,0
2026-03-26,PAR PHARMACEUTICAL INC,SMITH DRUG COMPANY,MEDICO PHARMACY #2352 (OK),OK,44,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,DIRECT RX,HEALTH MART PHARMACY #7969 (NV),NV,419,0
2026-03-26,SANDOZ INC,AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #3746 (TN),TN,752,0
2026-03-26,MYLAN PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,MEDICO PHARMACY #5873 (MI),MI,279,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,CARDINAL HEALTH INC,HEALTH MART PHARMACY #8336 (NE),NE,77,0
2026-03-26,LANNETT COMPANY INC,KEYSOURCE MEDICAL INC,HARRIS TEETER PHARMACY #9591 (MS),MS,97,0
2026-03-26,QUALITEST PHARMACEUTICALS,AMERISOURCEBERGEN DRUG CORP,GOOD NEIGHBOR PHARMACY #7994 (IN),IN,70,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,KEYSOURCE MEDICAL INC,WALGREENS #1285 (WI),WI,51,0
2026-03-26,IMPAX LABORATORIES INC,KEYSOURCE MEDICAL INC,VILLAGE PHARMACY #2020 (KS),KS,35,0
2026-03-26,ENDO PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,FAMILY CARE PHARMACY #1947 (OK),OK,46,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,VILLAGE PHARMACY #3423 (AK),AK,857,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,HEALTH MART PHARMACY #8816 (AR),AR,461,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,GULF COAST MEDICAL SUPPLY,CVS PHARMACY #2402 (NV),NV,384,0
2026-03-26,CADISTA PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,HARRIS TEETER PHARMACY #6061 (MI),MI,451,0
2026-03-26,ENDO PHARMACEUTICALS INC,KINRAY LLC,CORNER DRUG STORE #4123 (OH),OH,56,0
2026-03-26,IMPAX LABORATORIES INC,DIRECT RX,WALGREENS #5297 (MT),MT,1130,0
2026-03-26,PURDUE PHARMA LP,CARDINAL HEALTH INC,FAMILY CARE PHARMACY #4130 (TN),TN,151,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,GULF COAST MEDICAL SUPPLY,HOMETOWN PHARMACY #3746 (TN),TN,331,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,SMITH DRUG COMPANY,KROGER PHARMACY #8420 (MT),MT,1276,0
2026-03-26,ABBOTT LABORATORIES,DIRECT RX,CVS PHARMACY #2875 (GA),GA,841,0
2026-03-26,IMPAX LABORATORIES INC,DAKOTA DRUG INC,QUALITY CARE PHARMACY #2379 (SD),SD,214,0
2026-03-26,SUN PHARMA GLOBAL INC,KEYSOURCE MEDICAL INC,GOOD NEIGHBOR PHARMACY #1784 (PA),PA,112,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,PEOPLES PHARMACY #3390 (LA),LA,239,0
2026-03-26,ENDO PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,WALMART PHARMACY #9312 (PA),PA,133,0
2026-03-26,HIKMA PHARMACEUTICALS,VALUEDRUGCO,RITE AID #3760 (TX),TX,108,0
2026-03-26,CADISTA PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,SUNRISE PHARMACY #6615 (LA),LA,223,0
2026-03-26,HIKMA PHARMACEUTICALS,MCKESSON CORPORATION,MEDICO PHARMACY #7839 (AR),AR,274,0
2026-03-26,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,MEDICO PHARMACY #2378 (MD),MD,757,0
2026-03-26,PURDUE PHARMA LP,ANDA INC,PEOPLES PHARMACY #5739 (CO),CO,45,0
2026-03-26,HIKMA PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,QUALITY CARE PHARMACY #9337 (MA),MA,204,0
2026-03-26,MALLINCKRODT LLC,KINRAY LLC,SUNRISE PHARMACY #1684 (LA),LA,867,0
2026-03-26,ACTAVIS PHARMA INC,BELLCO DRUG CORP,HEALTH MART PHARMACY #8822 (AR),AR,642,0
2026-03-26,PURDUE PHARMA LP,PENN PHARMACEUTICAL SERVICES INC,HARRIS TEETER PHARMACY #4789 (NJ),NJ,1328,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,VALUEDRUGCO,WINN-DIXIE PHARMACY #3112 (LA),LA,1271,0
2026-03-26,ABBOTT LABORATORIES,KEYSOURCE MEDICAL INC,HEALTH MART PHARMACY #7354 (RI),RI,205,0
2026-03-26,MYLAN PHARMACEUTICALS INC,ANDA INC,COMMUNITY PHARMACY #2590 (PA),PA,61,0
2026-03-26,LANNETT COMPANY INC,MIAMI-LUKEN INC,WALMART PHARMACY #9460 (CT),CT,269,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,BURLINGTON DRUG COMPANY INC,GOOD NEIGHBOR PHARMACY #9772 (VA),VA,329,0
2026-03-26,ABBOTT LABORATORIES,DIRECT RX,HOMETOWN PHARMACY #8711 (MA),MA,28,0
2026-03-26,RHODES TECHNOLOGIES,BELLCO DRUG CORP,GOOD NEIGHBOR PHARMACY #7697 (PA),PA,51,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,SMITH DRUG COMPANY,MAIN STREET PHARMACY #9676 (MN),MN,90,0
2026-03-26,ENDO PHARMACEUTICALS INC,KINRAY LLC,MEDICO PHARMACY #5137 (MN),MN,183,0
2026-03-26,ACTAVIS PHARMA INC,MIAMI-LUKEN INC,RITE AID #5067 (NM),NM,66,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,GULF COAST MEDICAL SUPPLY,QUALITY CARE PHARMACY #6882 (CA),CA,179,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,MORRIS & DICKSON CO LLC,HARRIS TEETER PHARMACY #7725 (HI),HI,667,0
2026-03-26,ABBOTT LABORATORIES,CARDINAL HEALTH INC,WALMART PHARMACY #7025 (OH),OH,281,0
2026-03-26,PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,QUALITY CARE PHARMACY #7120 (DE),DE,872,0
2026-03-26,SUN PHARMA GLOBAL INC,DAKOTA DRUG INC,HOMETOWN PHARMACY #7541 (SC),SC,104,0
2026-03-26,IMPAX LABORATORIES INC,BURLINGTON DRUG COMPANY INC,RITE AID #3760 (TX),TX,264,0
2026-03-26,RHODES TECHNOLOGIES,PRESCRIPTION SUPPLY INC,SUNRISE PHARMACY #2063 (SD),SD,334,0
2026-03-26,PAR PHARMACEUTICAL INC,DAKOTA DRUG INC,FAMILY CARE PHARMACY #1694 (DE),DE,500,0
2026-03-26,SUN PHARMA GLOBAL INC,PENN PHARMACEUTICAL SERVICES INC,FAMILY CARE PHARMACY #4742 (OH),OH,2112,0
2026-03-26,SUN PHARMA GLOBAL INC,DAKOTA DRUG INC,MEDICO PHARMACY #4332 (ID),ID,74,0
2026-03-26,MYLAN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,MEDICO PHARMACY #9075 (MT),MT,263,0
2026-03-26,HIKMA PHARMACEUTICALS,NATIONAL WHOLESALE DRUG CO INC,HARRIS TEETER PHARMACY #9396 (VA),VA,154,0
2026-03-26,ENDO PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,HEALTH MART PHARMACY #9020 (AL),AL,558,0
2026-03-26,MYLAN PHARMACEUTICALS INC,ANDA INC,MEDICO PHARMACY #1407 (IL),IL,164,0
2026-03-26,CADISTA PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,MAIN STREET PHARMACY #6528 (OH),OH,421,0
2026-03-26,IMPAX LABORATORIES INC,KINRAY LLC,MAIN STREET PHARMACY #6973 (LA),LA,630,0
2026-03-26,ENDO PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,MAIN STREET PHARMACY #2347 (OK),OK,358,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,SUNRISE PHARMACY #7649 (PA),PA,213,0
2026-03-26,ENDO PHARMACEUTICALS INC,BELLCO DRUG CORP,CVS PHARMACY #7218 (LA),LA,589,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,CARDINAL HEALTH INC,WALMART PHARMACY #4084 (VA),VA,1090,0
2026-03-26,JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,WINN-DIXIE PHARMACY #3033 (TX),TX,761,0
2026-03-26,HIKMA PHARMACEUTICALS,KEYSOURCE MEDICAL INC,KROGER PHARMACY #8420 (MT),MT,405,0
2026-03-26,ABBOTT LABORATORIES,DIRECT RX,HOMETOWN PHARMACY #9630 (AL),AL,49,0
2026-03-26,LANNETT COMPANY INC,PRESCRIPTION SUPPLY INC,CORNER DRUG STORE #1453 (OH),OH,563,0
2026-03-26,RHODES TECHNOLOGIES,KEYSOURCE MEDICAL INC,PEOPLES PHARMACY #5942 (WI),WI,67,0
2026-03-26,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,QUALITY CARE PHARMACY #9889 (WY),WY,72,0
2026-03-26,LANNETT COMPANY INC,MIAMI-LUKEN INC,KROGER PHARMACY #9142 (OH),OH,89,0
2026-03-26,LANNETT COMPANY INC,BELLCO DRUG CORP,RITE AID #8888 (NY),NY,2412,0
2026-03-26,VINTAGE PHARMACEUTICALS LLC,PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #4543 (IL),IL,361,0
2026-03-26,TEVA PHARMACEUTICALS USA INC,PENN PHARMACEUTICAL SERVICES INC,SUNRISE PHARMACY #3285 (MN),MN,622,0
2026-03-26,WATSON LABORATORIES INC,HD SMITH WHOLESALE DRUG CO,COMMUNITY PHARMACY #5731 (WV),WV,190,0
2026-03-26,MYLAN PHARMACEUTICALS INC,MCKESSON CORPORATION,MEDICO PHARMACY #1621 (MI),MI,219,0
2026-03-26,RHODES TECHNOLOGIES,ANDA INC,KROGER PHARMACY #3100 (MI),MI,56,0
2026-03-26,ENDO PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,VILLAGE PHARMACY #8189 (MD),MD,456,0
2026-03-26,MYLAN PHARMACEUTICALS INC,VALUEDRUGCO,RITE AID #1394 (FL),FL,2202,0
2026-03-26,QUALITEST PHARMACEUTICALS,MORRIS & DICKSON CO LLC,VILLAGE PHARMACY #2732 (TX),TX,112,0
