date,manufacturer,distributor,retailer,retailer_state,quantity,manufacturer_enc,distributor_enc,retailer_enc,retailer_state_enc,tx_freq_per_pair,vol_concentration,month,year,day_of_week
2010-05-28,SUN PHARMA GLOBAL INC,KINRAY LLC,PUBLIX PHARMACY #2932 (KS),KS,398,16,11,1303,15,1,0.0796,5,2010,4
2010-06-24,JANSSEN PHARMACEUTICALS INC,VALUEDRUGCO,CVS PHARMACY #5523 (NC),NC,320,7,19,253,26,6,0.0073,6,2010,3
2006-09-08,PURDUE PHARMA LP,HENRY SCHEIN INC,CVS PHARMACY #4509 (LA),LA,46,12,9,241,17,3,0.019,9,2006,4
2013-02-06,WATSON LABORATORIES INC,SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #7622 (RI),RI,173,19,18,597,38,1,0.0548,2,2013,2
2008-07-22,QUALITEST PHARMACEUTICALS,KINRAY LLC,MAIN STREET PHARMACY #3493 (MD),MD,420,13,11,973,19,1,0.3331,7,2008,1
2010-02-21,LANNETT COMPANY INC,DIRECT RX,MAIN STREET PHARMACY #3572 (TN),TN,187,8,6,975,41,3,0.055,2,2010,6
2012-09-14,VINTAGE PHARMACEUTICALS LLC,ANDA INC,WALMART PHARMACY #6565 (SC),SC,470,18,1,1948,39,1,0.2051,9,2012,4
2013-05-03,LANNETT COMPANY INC,KEYSOURCE MEDICAL INC,WINN-DIXIE PHARMACY #9193 (KY),KY,637,8,10,2081,16,6,0.0259,5,2013,4
2013-12-16,PURDUE PHARMA LP,SMITH DRUG COMPANY,HEALTH MART PHARMACY #4740 (VA),VA,530,12,18,658,44,3,0.0208,12,2013,0
2009-09-19,HIKMA PHARMACEUTICALS,VALUEDRUGCO,MAIN STREET PHARMACY #3283 (NV),NV,119,5,19,971,32,4,0.0165,9,2009,5
2014-02-19,IMPAX LABORATORIES INC,HD SMITH WHOLESALE DRUG CO,HEALTH MART PHARMACY #9020 (AL),AL,39,6,8,712,1,1,0.0044,2,2014,2
2011-08-15,WATSON LABORATORIES INC,GULF COAST MEDICAL SUPPLY,WALGREENS #7353 (OK),OK,607,19,7,1848,35,2,0.026,8,2011,0
2014-10-02,ACTAVIS PHARMA INC,BELLCO DRUG CORP,FAMILY CARE PHARMACY #3626 (OK),OK,269,1,2,341,35,2,0.0432,10,2014,3
2014-02-09,JANSSEN PHARMACEUTICALS INC,NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #5408 (OH),OH,115,7,15,49,34,4,0.0059,2,2014,6
2012-07-22,JANSSEN PHARMACEUTICALS INC,ANDA INC,CORNER DRUG STORE #5081 (AZ),AZ,142,7,1,140,3,2,0.024,7,2012,6
2014-02-15,JANSSEN PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,PEOPLES PHARMACY #7931 (CA),CA,279,7,16,1261,4,2,0.2599,2,2014,5
2013-01-18,WATSON LABORATORIES INC,KEYSOURCE MEDICAL INC,WALMART PHARMACY #8666 (MS),MS,450,19,10,1966,24,1,0.4902,1,2013,4
2011-07-24,PURDUE PHARMA LP,NATIONAL WHOLESALE DRUG CO INC,MEDICO PHARMACY #7141 (ND),ND,72,12,15,1121,27,2,0.0046,7,2011,6
2006-09-24,AMNEAL PHARMACEUTICALS LLC,NATIONAL WHOLESALE DRUG CO INC,PUBLIX PHARMACY #2234 (VA),VA,162,2,15,1294,44,1,0.016,9,2006,6
2012-06-10,PAR PHARMACEUTICAL INC,MORRIS & DICKSON CO LLC,QUALITY CARE PHARMACY #8648 (GA),GA,12,11,14,1460,9,1,0.0022,6,2012,6
2012-04-02,PAR PHARMACEUTICAL INC,NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #8090 (LA),LA,180,11,15,76,17,6,0.0056,4,2012,0
2008-08-04,SANDOZ INC,HENRY SCHEIN INC,CORNER DRUG STORE #8030 (TX),TX,481,15,9,173,42,1,0.1075,8,2008,0
2011-12-16,MALLINCKRODT LLC,MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #5688 (MI),MI,218,9,13,453,21,3,0.0826,12,2011,4
2013-09-03,VINTAGE PHARMACEUTICALS LLC,KEYSOURCE MEDICAL INC,PUBLIX PHARMACY #2397 (LA),LA,246,18,10,1296,17,4,0.008,9,2013,1
2012-05-15,SUN PHARMA GLOBAL INC,KINRAY LLC,CORNER DRUG STORE #6778 (SC),SC,421,16,11,159,39,2,0.3759,5,2012,1
2012-02-21,RHODES TECHNOLOGIES,MCKESSON CORPORATION,COMMUNITY PHARMACY #8260 (MI),MI,293,14,12,81,21,6,0.0098,2,2012,1
2011-08-23,CADISTA PHARMACEUTICALS INC,DIRECT RX,HOMETOWN PHARMACY #8469 (NC),NC,342,3,6,811,26,10,0.016,8,2011,1
2013-06-05,ABBOTT LABORATORIES,KEYSOURCE MEDICAL INC,PUBLIX PHARMACY #1949 (PA),PA,311,0,10,1288,37,1,0.0633,6,2013,2
2011-07-16,ABBOTT LABORATORIES,PENN PHARMACEUTICAL SERVICES INC,WINN-DIXIE PHARMACY #8561 (LA),LA,109,0,16,2076,17,4,0.0089,7,2011,5
2008-10-06,VINTAGE PHARMACEUTICALS LLC,HD SMITH WHOLESALE DRUG CO,MEDICO PHARMACY #5392 (NC),NC,123,18,8,1100,26,9,0.0906,10,2008,0
2008-06-25,ACTAVIS PHARMA INC,MIAMI-LUKEN INC,SUNRISE PHARMACY #9210 (IA),IA,549,1,13,1651,11,1,0.2359,6,2008,2
2009-07-07,JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #2904 (CT),CT,700,7,13,425,6,4,0.032,7,2009,1
2014-03-30,ABBOTT LABORATORIES,GULF COAST MEDICAL SUPPLY,HOMETOWN PHARMACY #2766 (WV),WV,1378,0,7,743,48,6,0.0518,3,2014,6
2011-07-25,IMPAX LABORATORIES INC,AMERISOURCEBERGEN DRUG CORP,MAIN STREET PHARMACY #8987 (ME),ME,98,6,0,1042,20,3,0.0172,7,2011,0
2010-01-14,IMPAX LABORATORIES INC,MORRIS & DICKSON CO LLC,FAMILY CARE PHARMACY #5152 (MI),MI,193,6,14,363,21,6,0.0169,1,2010,3
2011-03-01,VINTAGE PHARMACEUTICALS LLC,MCKESSON CORPORATION,HOMETOWN PHARMACY #5569 (NC),NC,87,18,12,782,26,7,0.014,3,2011,1
2012-04-25,ACTAVIS PHARMA INC,ANDA INC,PUBLIX PHARMACY #4058 (WA),WA,55,1,1,1312,46,1,0.02,4,2012,2
2013-07-03,PURDUE PHARMA LP,VALUEDRUGCO,WINN-DIXIE PHARMACY #1912 (OH),OH,662,12,19,1994,34,3,0.0628,7,2013,2
2007-10-29,LANNETT COMPANY INC,VALUEDRUGCO,HARRIS TEETER PHARMACY #8821 (AL),AL,121,8,19,612,1,1,0.0561,10,2007,0
2011-04-12,WATSON LABORATORIES INC,SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #6004 (OK),OK,47,19,18,576,35,1,0.1178,4,2011,1
2009-05-06,RHODES TECHNOLOGIES,HD SMITH WHOLESALE DRUG CO,WALGREENS #1373 (PA),PA,363,14,8,1775,37,1,0.3486,5,2009,2
2012-04-17,AMNEAL PHARMACEUTICALS LLC,MCKESSON CORPORATION,GOOD NEIGHBOR PHARMACY #3820 (AK),AK,78,2,12,434,0,1,0.0126,4,2012,1
2013-01-27,WATSON LABORATORIES INC,ANDA INC,CVS PHARMACY #2076 (VA),VA,416,19,1,209,44,2,0.1153,1,2013,6
2013-11-15,ABBOTT LABORATORIES,DAKOTA DRUG INC,WALMART PHARMACY #6000 (VT),VT,179,0,5,1936,45,1,0.3311,11,2013,4
2013-08-14,MYLAN PHARMACEUTICALS INC,AMERISOURCEBERGEN DRUG CORP,HEALTH MART PHARMACY #4191 (NV),NV,1526,10,0,649,32,3,0.3867,8,2013,2
2011-12-01,ACTAVIS PHARMA INC,PRESCRIPTION SUPPLY INC,HOMETOWN PHARMACY #1995 (NJ),NJ,76,1,17,735,30,1,0.0094,12,2011,3
2010-07-26,IMPAX LABORATORIES INC,PRESCRIPTION SUPPLY INC,COMMUNITY PHARMACY #4052 (OH),OH,308,6,17,30,34,3,0.0277,7,2010,0
2011-12-12,JANSSEN PHARMACEUTICALS INC,BELLCO DRUG CORP,CVS PHARMACY #5105 (TN),TN,1828,7,2,245,41,9,0.0144,12,2011,0
2011-06-13,QUALITEST PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,PEOPLES PHARMACY #4383 (NV),NV,1917,13,17,1216,32,2,0.2297,6,2011,0
2013-07-29,JANSSEN PHARMACEUTICALS INC,SMITH DRUG COMPANY,MEDICO PHARMACY #7114 (NJ),NJ,120,7,18,1120,30,2,0.0042,7,2013,0
2012-08-11,RHODES TECHNOLOGIES,SMITH DRUG COMPANY,MAIN STREET PHARMACY #2855 (IN),IN,445,14,18,965,14,3,0.0397,8,2012,5
2011-04-29,ENDO PHARMACEUTICALS INC,BELLCO DRUG CORP,SUNRISE PHARMACY #6542 (PA),PA,85,4,2,1618,37,4,0.0346,4,2011,4
2009-01-03,ABBOTT LABORATORIES,BELLCO DRUG CORP,HOMETOWN PHARMACY #8707 (WV),WV,1472,0,2,815,48,6,0.0397,1,2009,5
2011-09-26,ABBOTT LABORATORIES,MCKESSON CORPORATION,GOOD NEIGHBOR PHARMACY #3185 (WY),WY,65,0,12,429,49,1,0.0138,9,2011,0
2010-03-26,JANSSEN PHARMACEUTICALS INC,MCKESSON CORPORATION,WALMART PHARMACY #2043 (NH),NH,2024,7,12,1897,29,1,0.4449,3,2010,4
2012-10-21,ENDO PHARMACEUTICALS INC,PENN PHARMACEUTICAL SERVICES INC,WALMART PHARMACY #6376 (OH),OH,174,4,16,1944,34,3,0.0066,10,2012,6
2011-09-01,MALLINCKRODT LLC,VALUEDRUGCO,HOMETOWN PHARMACY #8829 (MS),MS,153,9,19,819,24,1,0.0181,9,2011,3
2008-12-06,TEVA PHARMACEUTICALS USA INC,KINRAY LLC,CORNER DRUG STORE #4480 (IN),IN,61,17,11,136,14,3,0.0228,12,2008,5
2008-12-20,LANNETT COMPANY INC,ANDA INC,SUNRISE PHARMACY #8999 (NC),NC,212,8,1,1648,26,9,0.039,12,2008,5
2011-01-04,QUALITEST PHARMACEUTICALS,BURLINGTON DRUG COMPANY INC,MEDICO PHARMACY #9307 (VA),VA,397,13,3,1148,44,3,0.0145,1,2011,1
2009-06-10,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,PUBLIX PHARMACY #3067 (WI),WI,184,12,17,1305,47,1,0.0913,6,2009,2
2011-04-13,WATSON LABORATORIES INC,DIRECT RX,PUBLIX PHARMACY #1430 (ID),ID,368,19,6,1282,12,2,0.2415,4,2011,2
2009-01-12,MALLINCKRODT LLC,SMITH DRUG COMPANY,WALGREENS #5175 (PA),PA,1094,9,18,1820,37,1,0.0346,1,2009,0
2008-08-11,ACTAVIS PHARMA INC,ANDA INC,MAIN STREET PHARMACY #1044 (MO),MO,244,1,1,937,23,1,0.0252,8,2008,0
2011-10-13,AMNEAL PHARMACEUTICALS LLC,GULF COAST MEDICAL SUPPLY,MAIN STREET PHARMACY #6528 (OH),OH,610,2,7,1007,34,3,0.0462,10,2011,3
2011-11-04,PURDUE PHARMA LP,BURLINGTON DRUG COMPANY INC,HOMETOWN PHARMACY #6366 (WA),WA,20000,12,3,791,46,1,0.8596,11,2011,4
2012-04-22,SANDOZ INC,PENN PHARMACEUTICAL SERVICES INC,CVS PHARMACY #2504 (VA),VA,675,15,16,218,44,5,0.0267,4,2012,6
2010-06-22,JANSSEN PHARMACEUTICALS INC,SMITH DRUG COMPANY,PEOPLES PHARMACY #7557 (OH),OH,213,7,18,1254,34,2,0.4885,6,2010,1
2010-04-15,IMPAX LABORATORIES INC,MORRIS & DICKSON CO LLC,WINN-DIXIE PHARMACY #2880 (MI),MI,155,6,14,2004,21,5,0.0246,4,2010,3
2011-02-25,RHODES TECHNOLOGIES,NATIONAL WHOLESALE DRUG CO INC,HEALTH MART PHARMACY #8461 (GA),GA,82,14,15,705,9,1,0.0112,2,2011,4
