anomaly_idx,manufacturer,retailer,anomaly_score,match_rank,match_distance,match_recovery_days,match_response_type,match_disruption_type,match_industry
12,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,3,1.1613,224.0,Combined Strategy,Geopolitical,Consumer Goods
13,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,1,0.7498,109.0,Combined Strategy,Labor Strike,Consumer Goods
13,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,2,0.9403,167.0,Combined Strategy,Labor Strike,Electronics
13,VINTAGE PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),5,3,1.1779,224.0,Combined Strategy,Geopolitical,Consumer Goods
14,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,1,0.4516,109.0,Combined Strategy,Labor Strike,Consumer Goods
14,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,2,1.0343,167.0,Combined Strategy,Labor Strike,Electronics
14,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),5,3,1.2223,77.0,Combined Strategy,Geopolitical,Electronics
15,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),5,1,0.5064,109.0,Combined Strategy,Labor Strike,Consumer Goods
15,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),5,2,1.1053,77.0,Combined Strategy,Geopolitical,Electronics
15,ACTAVIS PHARMA INC,TUG VALLEY PHARMACY #1 (WV),5,3,1.1064,301.0,Combined Strategy,Geopolitical,Electronics
16,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,1,0.4549,109.0,Combined Strategy,Labor Strike,Consumer Goods
16,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,2,1.1027,167.0,Combined Strategy,Labor Strike,Electronics
16,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),5,3,1.1683,77.0,Combined Strategy,Geopolitical,Electronics
17,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4963,261.0,Combined Strategy,Labor Strike,Consumer Goods
17,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.6195,176.0,Combined Strategy,Labor Strike,Consumer Goods
17,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.7109,117.0,Combined Strategy,Geopolitical,Consumer Goods
18,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,1,0.4859,176.0,Combined Strategy,Labor Strike,Consumer Goods
18,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,2,0.5344,50.0,Combined Strategy,Labor Strike,Consumer Goods
18,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,3,0.5396,110.0,Combined Strategy,Labor Strike,Consumer Goods
19,PURDUE PHARMA LP,RITE AID #2678 (ND),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
19,PURDUE PHARMA LP,RITE AID #2678 (ND),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
19,PURDUE PHARMA LP,RITE AID #2678 (ND),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
20,PURDUE PHARMA LP,HOMETOWN PHARMACY #7046 (DE),4,1,0.4922,47.0,Combined Strategy,Labor Strike,Consumer Goods
20,PURDUE PHARMA LP,HOMETOWN PHARMACY #7046 (DE),4,2,0.5375,110.0,Combined Strategy,Labor Strike,Consumer Goods
20,PURDUE PHARMA LP,HOMETOWN PHARMACY #7046 (DE),4,3,0.5428,50.0,Combined Strategy,Labor Strike,Consumer Goods
21,PURDUE PHARMA LP,WALMART PHARMACY #9172 (WY),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
21,PURDUE PHARMA LP,WALMART PHARMACY #9172 (WY),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
21,PURDUE PHARMA LP,WALMART PHARMACY #9172 (WY),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
22,PURDUE PHARMA LP,PEOPLES PHARMACY #2584 (AL),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
22,PURDUE PHARMA LP,PEOPLES PHARMACY #2584 (AL),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
22,PURDUE PHARMA LP,PEOPLES PHARMACY #2584 (AL),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
23,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.5141,176.0,Combined Strategy,Labor Strike,Consumer Goods
23,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5763,261.0,Combined Strategy,Labor Strike,Consumer Goods
23,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.6623,50.0,Combined Strategy,Labor Strike,Consumer Goods
24,PURDUE PHARMA LP,WALMART PHARMACY #9369 (NY),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
24,PURDUE PHARMA LP,WALMART PHARMACY #9369 (NY),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
24,PURDUE PHARMA LP,WALMART PHARMACY #9369 (NY),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
25,PURDUE PHARMA LP,CORNER DRUG STORE #4977 (NJ),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
25,PURDUE PHARMA LP,CORNER DRUG STORE #4977 (NJ),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
25,PURDUE PHARMA LP,CORNER DRUG STORE #4977 (NJ),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
26,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.5339,261.0,Combined Strategy,Labor Strike,Consumer Goods
26,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5484,176.0,Combined Strategy,Labor Strike,Consumer Goods
26,CADISTA PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.6777,117.0,Combined Strategy,Geopolitical,Consumer Goods
27,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.487,110.0,Combined Strategy,Labor Strike,Consumer Goods
27,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.4882,50.0,Combined Strategy,Labor Strike,Consumer Goods
27,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.5574,47.0,Combined Strategy,Labor Strike,Consumer Goods
28,PURDUE PHARMA LP,CVS PHARMACY #9719 (NV),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
28,PURDUE PHARMA LP,CVS PHARMACY #9719 (NV),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
28,PURDUE PHARMA LP,CVS PHARMACY #9719 (NV),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
29,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.5111,261.0,Combined Strategy,Labor Strike,Consumer Goods
29,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5819,176.0,Combined Strategy,Labor Strike,Consumer Goods
29,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.6916,117.0,Combined Strategy,Geopolitical,Consumer Goods
30,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.5042,261.0,Combined Strategy,Labor Strike,Consumer Goods
30,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5967,176.0,Combined Strategy,Labor Strike,Consumer Goods
30,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.6988,117.0,Combined Strategy,Geopolitical,Consumer Goods
31,PURDUE PHARMA LP,WINN-DIXIE PHARMACY #8772 (WA),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
31,PURDUE PHARMA LP,WINN-DIXIE PHARMACY #8772 (WA),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
31,PURDUE PHARMA LP,WINN-DIXIE PHARMACY #8772 (WA),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
32,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4881,110.0,Combined Strategy,Labor Strike,Consumer Goods
32,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.4895,50.0,Combined Strategy,Labor Strike,Consumer Goods
32,JANSSEN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.5516,47.0,Combined Strategy,Labor Strike,Consumer Goods
33,PURDUE PHARMA LP,PEOPLES PHARMACY #1578 (VT),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
33,PURDUE PHARMA LP,PEOPLES PHARMACY #1578 (VT),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
33,PURDUE PHARMA LP,PEOPLES PHARMACY #1578 (VT),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
34,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4851,261.0,Combined Strategy,Labor Strike,Consumer Goods
34,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.7007,125.0,Combined Strategy,Geopolitical,Consumer Goods
34,TEVA PHARMACEUTICALS USA INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.7158,176.0,Combined Strategy,Labor Strike,Consumer Goods
35,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4948,50.0,Combined Strategy,Labor Strike,Consumer Goods
35,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.4972,110.0,Combined Strategy,Labor Strike,Consumer Goods
35,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.5082,176.0,Combined Strategy,Labor Strike,Consumer Goods
36,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,1,0.5238,176.0,Combined Strategy,Labor Strike,Consumer Goods
36,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,2,0.5611,261.0,Combined Strategy,Labor Strike,Consumer Goods
36,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,3,0.6713,117.0,Combined Strategy,Geopolitical,Consumer Goods
37,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4855,261.0,Combined Strategy,Labor Strike,Consumer Goods
37,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,2,0.69,176.0,Combined Strategy,Labor Strike,Consumer Goods
37,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,3,0.7111,125.0,Combined Strategy,Geopolitical,Consumer Goods
38,PURDUE PHARMA LP,WALGREENS #6464 (IL),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
38,PURDUE PHARMA LP,WALGREENS #6464 (IL),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
38,PURDUE PHARMA LP,WALGREENS #6464 (IL),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
39,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4955,110.0,Combined Strategy,Labor Strike,Consumer Goods
39,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.498,50.0,Combined Strategy,Labor Strike,Consumer Goods
39,IMPAX LABORATORIES INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.5296,47.0,Combined Strategy,Labor Strike,Consumer Goods
40,PURDUE PHARMA LP,VILLAGE PHARMACY #4948 (NE),4,1,0.9915,25.0,Combined Strategy,Geopolitical,Consumer Goods
40,PURDUE PHARMA LP,VILLAGE PHARMACY #4948 (NE),4,2,1.5984,216.0,Combined Strategy,Natural Disaster,Consumer Goods
40,PURDUE PHARMA LP,VILLAGE PHARMACY #4948 (NE),4,3,1.9656,146.0,Combined Strategy,Natural Disaster,Electronics
41,PURDUE PHARMA LP,RITE AID #2479 (KY),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
41,PURDUE PHARMA LP,RITE AID #2479 (KY),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
41,PURDUE PHARMA LP,RITE AID #2479 (KY),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
42,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,1,0.4856,50.0,Combined Strategy,Labor Strike,Consumer Goods
42,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,2,0.4863,110.0,Combined Strategy,Labor Strike,Consumer Goods
42,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,3,0.5367,176.0,Combined Strategy,Labor Strike,Consumer Goods
43,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,1,0.5007,176.0,Combined Strategy,Labor Strike,Consumer Goods
43,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5008,50.0,Combined Strategy,Labor Strike,Consumer Goods
43,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,3,0.5038,110.0,Combined Strategy,Labor Strike,Consumer Goods
44,PURDUE PHARMA LP,RITE AID #2838 (MO),4,1,0.7167,25.0,Combined Strategy,Geopolitical,Consumer Goods
44,PURDUE PHARMA LP,RITE AID #2838 (MO),4,2,0.7199,48.0,Combined Strategy,Labor Strike,Consumer Goods
44,PURDUE PHARMA LP,RITE AID #2838 (MO),4,3,0.863,256.0,Combined Strategy,Geopolitical,Consumer Goods
45,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),4,1,0.5211,176.0,Combined Strategy,Labor Strike,Consumer Goods
45,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5651,261.0,Combined Strategy,Labor Strike,Consumer Goods
45,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),4,3,0.6709,117.0,Combined Strategy,Geopolitical,Consumer Goods
46,PURDUE PHARMA LP,QUALITY CARE PHARMACY #5930 (CO),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
46,PURDUE PHARMA LP,QUALITY CARE PHARMACY #5930 (CO),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
46,PURDUE PHARMA LP,QUALITY CARE PHARMACY #5930 (CO),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
47,PURDUE PHARMA LP,HOMETOWN PHARMACY #7895 (OH),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
47,PURDUE PHARMA LP,HOMETOWN PHARMACY #7895 (OH),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
47,PURDUE PHARMA LP,HOMETOWN PHARMACY #7895 (OH),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
48,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4957,50.0,Combined Strategy,Labor Strike,Consumer Goods
48,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,2,0.4981,110.0,Combined Strategy,Labor Strike,Consumer Goods
48,MALLINCKRODT LLC,TUG VALLEY PHARMACY #1 (WV),4,3,0.5069,176.0,Combined Strategy,Labor Strike,Consumer Goods
49,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4915,50.0,Combined Strategy,Labor Strike,Consumer Goods
49,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.4935,110.0,Combined Strategy,Labor Strike,Consumer Goods
49,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.514,176.0,Combined Strategy,Labor Strike,Consumer Goods
50,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4908,176.0,Combined Strategy,Labor Strike,Consumer Goods
50,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5913,50.0,Combined Strategy,Labor Strike,Consumer Goods
50,MYLAN PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.5988,110.0,Combined Strategy,Labor Strike,Consumer Goods
51,PURDUE PHARMA LP,WINN-DIXIE PHARMACY #9743 (RI),4,1,0.5413,48.0,Combined Strategy,Labor Strike,Consumer Goods
51,PURDUE PHARMA LP,WINN-DIXIE PHARMACY #9743 (RI),4,2,0.7069,256.0,Combined Strategy,Geopolitical,Consumer Goods
51,PURDUE PHARMA LP,WINN-DIXIE PHARMACY #9743 (RI),4,3,0.8605,99.0,Combined Strategy,Geopolitical,Consumer Goods
52,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,1,0.5005,110.0,Combined Strategy,Labor Strike,Consumer Goods
52,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,2,0.5035,50.0,Combined Strategy,Labor Strike,Consumer Goods
52,PURDUE PHARMA LP,TUG VALLEY PHARMACY #1 (WV),4,3,0.5208,47.0,Combined Strategy,Labor Strike,Consumer Goods
53,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4851,261.0,Combined Strategy,Labor Strike,Consumer Goods
53,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),4,2,0.7023,125.0,Combined Strategy,Geopolitical,Consumer Goods
53,AMNEAL PHARMACEUTICALS LLC,TUG VALLEY PHARMACY #1 (WV),4,3,0.7113,176.0,Combined Strategy,Labor Strike,Consumer Goods
54,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,1,0.4921,261.0,Combined Strategy,Labor Strike,Consumer Goods
54,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,2,0.6799,125.0,Combined Strategy,Geopolitical,Consumer Goods
54,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,3,0.7945,176.0,Combined Strategy,Labor Strike,Consumer Goods
55,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.5166,176.0,Combined Strategy,Labor Strike,Consumer Goods
55,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5721,261.0,Combined Strategy,Labor Strike,Consumer Goods
55,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.6684,50.0,Combined Strategy,Labor Strike,Consumer Goods
56,PURDUE PHARMA LP,KROGER PHARMACY #6736 (IA),4,1,0.4908,50.0,Combined Strategy,Labor Strike,Consumer Goods
56,PURDUE PHARMA LP,KROGER PHARMACY #6736 (IA),4,2,0.4926,110.0,Combined Strategy,Labor Strike,Consumer Goods
56,PURDUE PHARMA LP,KROGER PHARMACY #6736 (IA),4,3,0.5158,176.0,Combined Strategy,Labor Strike,Consumer Goods
57,PURDUE PHARMA LP,CORNER DRUG STORE #9369 (NC),4,1,1.0344,25.0,Combined Strategy,Geopolitical,Consumer Goods
57,PURDUE PHARMA LP,CORNER DRUG STORE #9369 (NC),4,2,1.6275,216.0,Combined Strategy,Natural Disaster,Consumer Goods
57,PURDUE PHARMA LP,CORNER DRUG STORE #9369 (NC),4,3,1.9835,146.0,Combined Strategy,Natural Disaster,Electronics
58,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.4881,176.0,Combined Strategy,Labor Strike,Consumer Goods
58,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5781,50.0,Combined Strategy,Labor Strike,Consumer Goods
58,LANNETT COMPANY INC,TUG VALLEY PHARMACY #1 (WV),4,3,0.5852,110.0,Combined Strategy,Labor Strike,Consumer Goods
59,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,1,0.4852,50.0,Combined Strategy,Labor Strike,Consumer Goods
59,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,2,0.4856,110.0,Combined Strategy,Labor Strike,Consumer Goods
59,HIKMA PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,3,0.5426,176.0,Combined Strategy,Labor Strike,Consumer Goods
60,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,1,0.5076,47.0,Combined Strategy,Labor Strike,Consumer Goods
60,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,2,0.5116,110.0,Combined Strategy,Labor Strike,Consumer Goods
60,QUALITEST PHARMACEUTICALS,TUG VALLEY PHARMACY #1 (WV),4,3,0.5155,50.0,Combined Strategy,Labor Strike,Consumer Goods
61,PURDUE PHARMA LP,HOMETOWN PHARMACY #7566 (NM),4,1,0.5167,48.0,Combined Strategy,Labor Strike,Consumer Goods
61,PURDUE PHARMA LP,HOMETOWN PHARMACY #7566 (NM),4,2,0.6707,99.0,Combined Strategy,Geopolitical,Consumer Goods
61,PURDUE PHARMA LP,HOMETOWN PHARMACY #7566 (NM),4,3,0.6733,86.0,Combined Strategy,Geopolitical,Consumer Goods
62,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,1,0.5077,261.0,Combined Strategy,Labor Strike,Consumer Goods
62,ENDO PHARMACEUTICALS INC,TUG VALLEY PHARMACY #1 (WV),4,2,0.5888,176.0,Combined Strategy,Labor Strike,Consumer Goods
