entity,type,in_volume,out_volume,in_degree,out_degree,total_transactions,betweenness_centrality,pagerank,composite_risk
GOOD NEIGHBOR PHARMACY #6272 (NC),retailer,112748.0,0.0,20,0,149,0.0,0.0004946439365615236,0.30878899463546217
PUBLIX PHARMACY #1697 (MI),retailer,112148.0,0.0,20,0,126,0.0,0.0004946355329758286,0.3087869332989244
RITE AID #3418 (WV),retailer,109638.0,0.0,20,0,128,0.0,0.0004945668662328899,0.30877008986193394
CORNER DRUG STORE #4406 (KY),retailer,112074.0,0.0,20,0,87,0.0,0.0004941829885015107,0.30867592753379935
WALGREENS #6014 (MI),retailer,110210.0,0.0,20,0,74,0.0,0.0004939298051735557,0.308613823562518
HOMETOWN PHARMACY #6387 (NC),retailer,109706.0,0.0,20,0,149,0.0,0.0004938059317524311,0.3085834383414603
MAIN STREET PHARMACY #8902 (TN),retailer,107865.0,0.0,20,0,72,0.0,0.0004935450502953625,0.30851944607684917
MEDICO PHARMACY #9378 (TN),retailer,109568.0,0.0,20,0,80,0.0,0.0004933986282946122,0.3084835298583406
CORNER DRUG STORE #1473 (PA),retailer,112030.0,0.0,20,0,68,0.0,0.0004932765535647851,0.3084535858427666
PUBLIX PHARMACY #2055 (NC),retailer,105881.0,0.0,20,0,138,0.0,0.0004928339629646595,0.30834502168831934
WALGREENS #3100 (IN),retailer,101372.0,0.0,20,0,57,0.0,0.0004926795980505526,0.30830715713274226
KROGER PHARMACY #5322 (OH),retailer,107496.0,0.0,20,0,59,0.0,0.0004926748498724458,0.3083059924402676
MAIN STREET PHARMACY #9550 (WV),retailer,104092.0,0.0,20,0,102,0.0,0.0004919622921594794,0.30813120737799754
VILLAGE PHARMACY #9397 (NC),retailer,112929.0,0.0,20,0,139,0.0,0.0004918794381173582,0.308110883902933
GOOD NEIGHBOR PHARMACY #2494 (WV),retailer,104844.0,0.0,20,0,97,0.0,0.0004918363837004734,0.3081003229774118
MEDICO PHARMACY #6767 (NC),retailer,104200.0,0.0,20,0,146,0.0,0.0004915823275861826,0.30803800491818883
HARRIS TEETER PHARMACY #1096 (WV),retailer,104140.0,0.0,20,0,108,0.0,0.0004915799929585231,0.30803743225153546
PUBLIX PHARMACY #2769 (WV),retailer,102752.0,0.0,20,0,121,0.0,0.0004906426763933565,0.3078075155286817
WALMART PHARMACY #1108 (WV),retailer,98841.0,0.0,20,0,134,0.0,0.0004895831580896901,0.3075476236359792
QUALITY CARE PHARMACY #3338 (WV),retailer,94603.0,0.0,20,0,119,0.0,0.0004895481257877701,0.3075390304750869
SUNRISE PHARMACY #8999 (NC),retailer,96495.0,0.0,20,0,144,0.0,0.0004895028870128649,0.30752793374292764
CORNER DRUG STORE #6200 (PA),retailer,90647.0,0.0,20,0,67,0.0,0.0004887647652443262,0.3073468780095754
SUNRISE PHARMACY #9094 (PA),retailer,101092.0,0.0,20,0,72,0.0,0.0004887193494050824,0.30733573784486196
MAIN STREET PHARMACY #1358 (IN),retailer,109326.0,0.0,20,0,57,0.0,0.0004885060859744864,0.30728342592497343
HOMETOWN PHARMACY #8707 (WV),retailer,92435.0,0.0,20,0,124,0.0,0.00048824565967283816,0.3072195453065729
QUALITY CARE PHARMACY #6507 (NC),retailer,91725.0,0.0,20,0,141,0.0,0.00048810953431904357,0.30718615477832995
WALGREENS #4642 (PA),retailer,87604.0,0.0,20,0,63,0.0,0.0004880955600894919,0.3071827270046382
GOOD NEIGHBOR PHARMACY #5339 (PA),retailer,91639.0,0.0,20,0,61,0.0,0.0004876845633325052,0.3070819125829352
HOMETOWN PHARMACY #5569 (NC),retailer,92862.0,0.0,20,0,136,0.0,0.0004874188715737047,0.30701674038739013
PUBLIX PHARMACY #2234 (VA),retailer,86807.0,0.0,20,0,57,0.0,0.0004874121282953091,0.3070150863117794
MAIN STREET PHARMACY #7935 (KY),retailer,96201.0,0.0,20,0,90,0.0,0.00048732012243291007,0.3069925179638463
SUNRISE PHARMACY #1937 (TN),retailer,92907.0,0.0,20,0,59,0.0,0.00048725238226791993,0.3069759018094766
COMMUNITY PHARMACY #3782 (NC),retailer,89828.0,0.0,20,0,125,0.0,0.00048675720146756853,0.3068544376733801
MAIN STREET PHARMACY #4930 (VA),retailer,88945.0,0.0,20,0,67,0.0,0.00048655178071434457,0.30680404950342494
HARRIS TEETER PHARMACY #7528 (IN),retailer,89794.0,0.0,20,0,61,0.0,0.0004864877733326924,0.3067883489728093
MAIN STREET PHARMACY #4501 (WV),retailer,86580.0,0.0,20,0,124,0.0,0.00048642149295719813,0.30677209089385343
CVS PHARMACY #6466 (KY),retailer,92894.0,0.0,20,0,106,0.0,0.00048640223047309214,0.30676736595098536
CORNER DRUG STORE #1213 (TN),retailer,88759.0,0.0,20,0,74,0.0,0.0004858077055301749,0.30662153344187354
MEDICO PHARMACY #1621 (MI),retailer,85953.0,0.0,20,0,68,0.0,0.00048559852067287874,0.30657022196542305
COMMUNITY PHARMACY #9436 (WV),retailer,83974.0,0.0,20,0,112,0.0,0.0004853036779599091,0.30649789925947446
QUALITY CARE PHARMACY #3905 (TN),retailer,84224.0,0.0,20,0,72,0.0,0.0004851389795658327,0.3064574999787698
CVS PHARMACY #6838 (TN),retailer,80917.0,0.0,20,0,87,0.0,0.000485040657767314,0.30643338237908085
HEALTH MART PHARMACY #6078 (KY),retailer,80277.0,0.0,20,0,80,0.0,0.0004843669634004763,0.3062681302041117
HOMETOWN PHARMACY #3804 (KY),retailer,81697.0,0.0,20,0,88,0.0,0.00048403987852784717,0.30618789873823915
PEOPLES PHARMACY #4809 (WV),retailer,77534.0,0.0,20,0,114,0.0,0.00048362284441433773,0.3060856033982659
CORNER DRUG STORE #6232 (MI),retailer,77383.0,0.0,20,0,57,0.0,0.0004836081671024241,0.3060820031637444
KROGER PHARMACY #3100 (MI),retailer,73702.0,0.0,20,0,67,0.0,0.00048345218396879305,0.3060437416710559
WALMART PHARMACY #8931 (VA),retailer,78621.0,0.0,20,0,69,0.0,0.0004831593932065224,0.3059719222932226
HEALTH MART PHARMACY #5260 (PA),retailer,76873.0,0.0,20,0,65,0.0,0.000482877432597003,0.30590275947062484
CORNER DRUG STORE #2236 (KY),retailer,75051.0,0.0,20,0,95,0.0,0.0004826191968937885,0.305839416189589
HOMETOWN PHARMACY #4482 (KY),retailer,74937.0,0.0,20,0,98,0.0,0.0004824403212755541,0.3057955393421382
MEDICO PHARMACY #5392 (NC),retailer,74163.0,0.0,20,0,137,0.0,0.0004823807762260156,0.30578093338811924
PEOPLES PHARMACY #2021 (TN),retailer,72383.0,0.0,20,0,68,0.0,0.0004823013628969371,0.30576145389415615
QUALITY CARE PHARMACY #4985 (TN),retailer,74524.0,0.0,20,0,85,0.0,0.00048210401512640194,0.3057130459663011
HOMETOWN PHARMACY #2172 (WV),retailer,73764.0,0.0,20,0,125,0.0,0.00048203224125982757,0.3056954403751886
QUALITY CARE PHARMACY #3071 (KY),retailer,72070.0,0.0,20,0,98,0.0,0.00048175880431232377,0.3056283683429494
FAMILY CARE PHARMACY #2731 (OH),retailer,74149.0,0.0,20,0,51,0.0,0.0004817407782609433,0.3056239466877547
VILLAGE PHARMACY #2822 (WV),retailer,72330.0,0.0,20,0,102,0.0,0.0004815586282781669,0.30557926666324203
KROGER PHARMACY #1497 (PA),retailer,71433.0,0.0,20,0,85,0.0,0.00048129078327185666,0.3055135662922338
WALGREENS #6656 (TN),retailer,71980.0,0.0,20,0,68,0.0,0.0004812743241251003,0.30550952898699046
SUNRISE PHARMACY #2882 (KY),retailer,69872.0,0.0,20,0,98,0.0,0.0004812178597370466,0.3054956786961264
PUBLIX PHARMACY #7101 (VA),retailer,68486.0,0.0,20,0,56,0.0,0.00048121108778982337,0.3054940175882673
GOOD NEIGHBOR PHARMACY #4375 (OH),retailer,71036.0,0.0,20,0,64,0.0,0.00048105825866189895,0.3054565297495212
WINN-DIXIE PHARMACY #3112 (LA),retailer,67973.0,0.0,20,0,60,0.0,0.0004808823463737332,0.30541337978470906
MAIN STREET PHARMACY #2855 (IN),retailer,66638.0,0.0,20,0,59,0.0,0.00048080446796948503,0.30539427679629383
PEOPLES PHARMACY #6564 (IN),retailer,69598.0,0.0,20,0,57,0.0,0.0004807218457884432,0.305374010195013
KROGER PHARMACY #2038 (MI),retailer,68271.0,0.0,20,0,68,0.0,0.000480625242838283,0.30535031421593367
CVS PHARMACY #6755 (TN),retailer,68962.0,0.0,20,0,73,0.0,0.00048043504557372056,0.30530366025355954
COMMUNITY PHARMACY #9334 (IN),retailer,68197.0,0.0,20,0,50,0.0,0.00048029160139032517,0.3052684744713123
WINN-DIXIE PHARMACY #9193 (KY),retailer,67503.0,0.0,20,0,98,0.0,0.00048015636535373525,0.3052353020859091
HEALTH MART PHARMACY #5593 (KY),retailer,66254.0,0.0,20,0,117,0.0,0.000479986948241076,0.30519374533893
CVS PHARMACY #9326 (KY),retailer,66600.0,0.0,20,0,96,0.0,0.0004797727837683193,0.30514121240015796
HOMETOWN PHARMACY #2766 (WV),retailer,66077.0,0.0,20,0,111,0.0,0.00047965731991562305,0.3051128899831576
VILLAGE PHARMACY #9720 (VA),retailer,65367.0,0.0,20,0,56,0.0,0.0004795025684130684,0.30507493060033397
VILLAGE PHARMACY #3873 (PA),retailer,67311.0,0.0,20,0,70,0.0,0.00047939775619733593,0.30504922094998554
HARRIS TEETER PHARMACY #7234 (WV),retailer,65271.0,0.0,20,0,119,0.0,0.0004792412978313739,0.30501084288637087
MEDICO PHARMACY #2927 (MI),retailer,65900.0,0.0,20,0,65,0.0,0.0004791473011700189,0.30498778621038636
PEOPLES PHARMACY #3759 (TN),retailer,61243.0,0.0,20,0,64,0.0,0.0004791101353405669,0.3049786697111936
PUBLIX PHARMACY #9833 (MI),retailer,61612.0,0.0,20,0,64,0.0,0.00047903698135736317,0.3049607255878238
WALGREENS #4571 (VA),retailer,61889.0,0.0,20,0,73,0.0,0.0004784628419577501,0.30481989349957744
PUBLIX PHARMACY #8639 (OH),retailer,63748.0,0.0,20,0,68,0.0,0.00047828787846865414,0.30477697626806044
QUALITY CARE PHARMACY #9242 (KY),retailer,62988.0,0.0,20,0,92,0.0,0.00047813830736745703,0.3047402875988329
PEOPLES PHARMACY #6007 (WV),retailer,59142.0,0.0,20,0,121,0.0,0.00047789541593003926,0.30468070815110343
COMMUNITY PHARMACY #1898 (TN),retailer,58655.0,0.0,20,0,79,0.0,0.0004773902881350773,0.30455680409183894
GOOD NEIGHBOR PHARMACY #7994 (IN),retailer,58687.0,0.0,20,0,66,0.0,0.0004772958599060043,0.3045336415555303
COMMUNITY PHARMACY #8090 (LA),retailer,58224.0,0.0,20,0,62,0.0,0.00047720392660079977,0.3045110910053328
HOMETOWN PHARMACY #9385 (MI),retailer,58313.0,0.0,20,0,80,0.0,0.0004771035774731325,0.3044864761170102
COMMUNITY PHARMACY #8229 (IN),retailer,57344.0,0.0,20,0,74,0.0,0.00047705941236303044,0.30447564274677386
SUNRISE PHARMACY #9537 (KY),retailer,55527.0,0.0,20,0,109,0.0,0.0004769364915197899,0.304445491185926
HEALTH MART PHARMACY #4740 (VA),retailer,56913.0,0.0,20,0,63,0.0,0.00047652130908612723,0.3043436500491301
WALGREENS #8595 (PA),retailer,53981.0,0.0,20,0,51,0.0,0.00047632374993216895,0.30429519027050694
PEOPLES PHARMACY #8932 (PA),retailer,55755.0,0.0,20,0,67,0.0,0.0004762794438035651,0.3042843223094898
FAMILY CARE PHARMACY #2951 (LA),retailer,54075.0,0.0,20,0,74,0.0,0.00047622021193686066,0.3042697931768709
KROGER PHARMACY #2900 (MI),retailer,53017.0,0.0,20,0,63,0.0,0.0004761381482551981,0.3042496635712986
QUALITY CARE PHARMACY #7561 (KY),retailer,56063.0,0.0,20,0,83,0.0,0.00047610191348549356,0.3042407754540782
FAMILY CARE PHARMACY #3203 (KY),retailer,54777.0,0.0,20,0,95,0.0,0.0004759876076174739,0.3042127370820333
WALGREENS #4408 (TN),retailer,50678.0,0.0,20,0,68,0.0,0.00047549842260773855,0.30409274366840194
MEDICO PHARMACY #5822 (TN),retailer,52611.0,0.0,20,0,85,0.0,0.00047544679606459556,0.30408008006460696
PUBLIX PHARMACY #1973 (TN),retailer,49715.0,0.0,20,0,65,0.0,0.0004752176424304717,0.3040238703969816
WALMART PHARMACY #2083 (MI),retailer,48952.0,0.0,20,0,71,0.0,0.00047514041172806455,0.30400492628496967
RITE AID #8791 (VA),retailer,51127.0,0.0,20,0,58,0.0,0.00047502846340977866,0.303977466202191
FAMILY CARE PHARMACY #9932 (MI),retailer,52211.0,0.0,20,0,76,0.0,0.000474946405008745,0.30395733789191737
WINN-DIXIE PHARMACY #5889 (PA),retailer,49925.0,0.0,20,0,71,0.0,0.000474820762511574,0.3039265187297749
SUNRISE PHARMACY #2009 (VA),retailer,49816.0,0.0,20,0,53,0.0,0.000474720200680259,0.30390185166684297
MEDICO PHARMACY #1464 (KY),retailer,49896.0,0.0,20,0,97,0.0,0.0004744839028354794,0.3038438895779307
HOMETOWN PHARMACY #6061 (MI),retailer,47735.0,0.0,20,0,58,0.0,0.0004744500904113782,0.3038355956439174
GOOD NEIGHBOR PHARMACY #7697 (PA),retailer,49485.0,0.0,20,0,62,0.0,0.0004744039853425904,0.3038242864163665
HARRIS TEETER PHARMACY #6061 (MI),retailer,47003.0,0.0,20,0,60,0.0,0.0004743261465832588,0.3038051931525519
QUALITY CARE PHARMACY #6874 (MI),retailer,55247.0,0.0,20,0,77,0.0,0.00047424366660932005,0.3037849614336068
PEOPLES PHARMACY #8476 (PA),retailer,48081.0,0.0,20,0,67,0.0,0.00047413100233605846,0.3037573257324428
MAIN STREET PHARMACY #4198 (PA),retailer,48331.0,0.0,20,0,65,0.0,0.0004738078303728617,0.30367805407390425
GOOD NEIGHBOR PHARMACY #9442 (VA),retailer,46943.0,0.0,20,0,66,0.0,0.00047364800326415784,0.3036388496829631
COMMUNITY PHARMACY #2313 (LA),retailer,47373.0,0.0,20,0,56,0.0,0.00047361164179120127,0.30362993048638537
WALGREENS #7469 (WV),retailer,47590.0,0.0,20,0,110,0.0,0.0004735981710337653,0.30362662621062714
HOMETOWN PHARMACY #8152 (WV),retailer,46548.0,0.0,20,0,111,0.0,0.0004732700487775112,0.30354614028233257
PUBLIX PHARMACY #8653 (MI),retailer,46021.0,0.0,20,0,57,0.0,0.0004732438797730632,0.30353972122182876
FAMILY CARE PHARMACY #3467 (KY),retailer,44918.0,0.0,20,0,71,0.0,0.00047320431187481825,0.3035300155131784
WALMART PHARMACY #7653 (PA),retailer,45727.0,0.0,20,0,58,0.0,0.00047319256359566015,0.30352713374842183
GOOD NEIGHBOR PHARMACY #5677 (LA),retailer,51081.0,0.0,20,0,55,0.0,0.0004731302786410831,0.3035118557162483
COMMUNITY PHARMACY #4205 (PA),retailer,46521.0,0.0,20,0,61,0.0,0.00047305984918538386,0.30349457989903933
GOOD NEIGHBOR PHARMACY #3282 (LA),retailer,42990.0,0.0,20,0,57,0.0,0.0004729124954756002,0.3034584351392934
RITE AID #1901 (TN),retailer,44220.0,0.0,20,0,79,0.0,0.00047290092849636085,0.3034555978460471
VILLAGE PHARMACY #4294 (PA),retailer,44963.0,0.0,20,0,61,0.0,0.0004728970835456987,0.30345465470848965
FAMILY CARE PHARMACY #1847 (OH),retailer,44495.0,0.0,20,0,55,0.0,0.00047289311524849846,0.30345368131495165
CORNER DRUG STORE #1453 (OH),retailer,42193.0,0.0,20,0,48,0.0,0.00047251986786932574,0.3033621265324776
HARRIS TEETER PHARMACY #7348 (TN),retailer,47809.0,0.0,20,0,78,0.0,0.0004724887798873536,0.3033545008836832
MAIN STREET PHARMACY #8777 (MI),retailer,42737.0,0.0,20,0,64,0.0,0.0004723035869619028,0.3033090744481568
HEALTH MART PHARMACY #5181 (MI),retailer,41752.0,0.0,20,0,63,0.0,0.00047183121175234903,0.3031932043524238
PEOPLES PHARMACY #8170 (VA),retailer,38855.0,0.0,20,0,58,0.0,0.0004717670627775233,0.3031774690900648
HOMETOWN PHARMACY #3746 (TN),retailer,40658.0,0.0,20,0,84,0.0,0.00047169769546213453,0.3031604538079071
VILLAGE PHARMACY #8857 (VA),retailer,40855.0,0.0,20,0,64,0.0,0.0004716873225395099,0.3031579094077921
HEALTH MART PHARMACY #9547 (VA),retailer,39249.0,0.0,20,0,58,0.0,0.00047153329603929746,0.30312012786260495
WINN-DIXIE PHARMACY #1883 (IN),retailer,39396.0,0.0,20,0,58,0.0,0.000471446202366377,0.30309876443790584
QUALITY CARE PHARMACY #3729 (OH),retailer,38660.0,0.0,20,0,50,0.0,0.000471308830831345,0.3030650682307527
HOMETOWN PHARMACY #4939 (MI),retailer,35580.0,0.0,20,0,62,0.0,0.00047018048273826294,0.3027882929069819
SUNRISE PHARMACY #8440 (TN),retailer,35698.0,0.0,20,0,76,0.0,0.00047014438428347963,0.3027794382267892
WINN-DIXIE PHARMACY #2902 (IN),retailer,35720.0,0.0,20,0,65,0.0,0.00047008567662865775,0.3027650376794131
HOMETOWN PHARMACY #7685 (TN),retailer,34651.0,0.0,20,0,72,0.0,0.0004694248193284933,0.30260293434061125
HEALTH MART PHARMACY #4409 (OH),retailer,33541.0,0.0,20,0,66,0.0,0.00046937644305000237,0.302591068002356
HEALTH MART PHARMACY #4585 (MI),retailer,32809.0,0.0,20,0,68,0.0,0.0004690727837861773,0.30251658266261333
COMMUNITY PHARMACY #7241 (LA),retailer,29902.0,0.0,20,0,72,0.0,0.0004683078005711784,0.30232893801792554
COMMUNITY PHARMACY #6858 (LA),retailer,29946.0,0.0,20,0,67,0.0,0.00046824595646797134,0.3023137681232863
MAIN STREET PHARMACY #4010 (LA),retailer,29556.0,0.0,20,0,56,0.0,0.0004681524496458854,0.30229083160120035
KROGER PHARMACY #8019 (KY),retailer,29070.0,0.0,20,0,72,0.0,0.00046809345741618316,0.30227636124974067
HOMETOWN PHARMACY #2097 (OH),retailer,29104.0,0.0,20,0,58,0.0,0.00046804369467062535,0.3022641548215135
RITE AID #1243 (IN),retailer,27129.0,0.0,20,0,61,0.0,0.00046744020897866533,0.30211612430787377
HEALTH MART PHARMACY #7087 (VA),retailer,27536.0,0.0,20,0,59,0.0,0.0004674175782712899,0.302110573165102
SUNRISE PHARMACY #1684 (LA),retailer,27642.0,0.0,20,0,60,0.0,0.0004673961164567436,0.3021053087429736
VILLAGE PHARMACY #4915 (OH),retailer,24930.0,0.0,20,0,53,0.0,0.00046683944417045463,0.30196876120660915
FAMILY CARE PHARMACY #7438 (PA),retailer,25165.0,0.0,20,0,60,0.0,0.0004667843574798911,0.3019552488546057
CORNER DRUG STORE #2273 (LA),retailer,23412.0,0.0,20,0,53,0.0,0.0004662094533041143,0.3018142291725028
WALMART PHARMACY #5079 (LA),retailer,25525.0,0.0,20,0,56,0.0,0.00046610905527942755,0.3017896022901081
HOMETOWN PHARMACY #3315 (LA),retailer,23081.0,0.0,20,0,54,0.0,0.0004660061631562163,0.30176436362405296
WINN-DIXIE PHARMACY #2041 (MI),retailer,22378.0,0.0,20,0,52,0.0,0.0004657427458488684,0.3016997493343891
WALGREENS #4349 (IN),retailer,20461.0,0.0,20,0,68,0.0,0.0004654254077595033,0.301621908681343
WINN-DIXIE PHARMACY #1222 (LA),retailer,20601.0,0.0,20,0,53,0.0,0.000465425051518529,0.30162182129810405
FAMILY CARE PHARMACY #4130 (TN),retailer,19919.0,0.0,20,0,62,0.0,0.00046499569092061293,0.30151650236396377
HARRIS TEETER PHARMACY #9862 (LA),retailer,17592.0,0.0,20,0,54,0.0,0.0004643222673778166,0.3013513166201006
CVS PHARMACY #5105 (TN),retailer,151686.0,0.0,19,0,79,0.0,0.0005071066036314981,0.2968459933890687
GOOD NEIGHBOR PHARMACY #8896 (PA),retailer,143058.0,0.0,19,0,73,0.0,0.0005051786950188166,0.29637309186714744
WINN-DIXIE PHARMACY #4694 (OH),retailer,130329.0,0.0,19,0,46,0.0,0.0004985673763319882,0.29475138498314796
HOMETOWN PHARMACY #4342 (MI),retailer,121152.0,0.0,19,0,66,0.0,0.0004973526238753965,0.29445341531710617
KROGER PHARMACY #4300 (VA),retailer,115575.0,0.0,19,0,65,0.0,0.0004969457100852517,0.2943536024165442
FAMILY CARE PHARMACY #2595 (OH),retailer,116167.0,0.0,19,0,70,0.0,0.0004955108616342595,0.294001644853962
MAIN STREET PHARMACY #2256 (IN),retailer,114977.0,0.0,19,0,49,0.0,0.000494969011950964,0.29386873319093115
RITE AID #3349 (TN),retailer,109774.0,0.0,19,0,76,0.0,0.0004939035545063103,0.2936073844714925
MEDICO PHARMACY #8978 (MI),retailer,102406.0,0.0,19,0,73,0.0,0.000491883100680397,0.29311178230292445
CVS PHARMACY #2504 (VA),retailer,104787.0,0.0,19,0,55,0.0,0.0004917474121165354,0.2930784989159758
PUBLIX PHARMACY #2397 (LA),retailer,101866.0,0.0,19,0,56,0.0,0.00049077596074174,0.29284020918035697
