entity,node_type,recon_error,gnn_score,risk_score,enhanced_risk,rank
MYLAN PHARMACEUTICALS INC,manufacturer,0.55412495,0.9452188,0.0420269328921888,0.4033036803346785,24
LANNETT COMPANY INC,manufacturer,0.5541051,0.94518495,0.0420269328921888,0.4032901500803145,25
ACTAVIS PHARMA INC,manufacturer,0.5540828,0.945147,0.0420269328921888,0.40327495089589677,26
ENDO PHARMACEUTICALS INC,manufacturer,0.55399215,0.94499236,0.0420269328921888,0.4032131110769423,27
TEVA PHARMACEUTICALS USA INC,manufacturer,0.55378157,0.94463307,0.0420269328921888,0.40306940427838883,28
AMNEAL PHARMACEUTICALS LLC,manufacturer,0.5536759,0.9444528,0.0420269328921888,0.4029972826582106,29
SUN PHARMA GLOBAL INC,manufacturer,0.5534754,0.94411075,0.0420269328921888,0.4028604601961287,30
RHODES TECHNOLOGIES,manufacturer,0.5533426,0.9438843,0.0420269328921888,0.4027698909383925,31
IMPAX LABORATORIES INC,manufacturer,0.55319405,0.9436309,0.0420269328921888,0.40266850343762955,32
CADISTA PHARMACEUTICALS INC,manufacturer,0.55283433,0.9430173,0.0420269328921888,0.4024230813127669,33
VINTAGE PHARMACEUTICALS LLC,manufacturer,0.5527393,0.9428552,0.0420269328921888,0.40235823145925126,34
HIKMA PHARMACEUTICALS,manufacturer,0.5526935,0.94277704,0.0420269328921888,0.40232696882306657,35
JANSSEN PHARMACEUTICALS INC,manufacturer,0.5525407,0.9425165,0.0420269328921888,0.4022227799039992,36
QUALITEST PHARMACEUTICALS,manufacturer,0.5521348,0.941824,0.0420269328921888,0.40194576731740556,37
ABBOTT LABORATORIES,manufacturer,0.5516259,0.940956,0.0420269328921888,0.4015985702615889,38
PAR PHARMACEUTICAL INC,manufacturer,0.55138063,0.9405375,0.0420269328921888,0.4014311706167372,39
WATSON LABORATORIES INC,manufacturer,0.5510946,0.94004965,0.0420269328921888,0.4012360250097426,40
FAMILY CARE PHARMACY #2097 (TN),retailer,0.0036395197,0.0061971922,0.3488931958054951,0.2118147943329335,41
FAMILY CARE PHARMACY #6857 (WV),retailer,0.0032737534,0.0055732657,0.3482329354894318,0.21116906767485485,42
SUNRISE PHARMACY #1202 (TN),retailer,0.0032426899,0.005520277,0.3481550220411125,0.2111011241010489,43
MEDICO PHARMACY #8821 (VA),retailer,0.0033882442,0.005768565,0.3478279501995237,0.21100419607129942,44
MAIN STREET PHARMACY #5941 (IN),retailer,0.0030270442,0.005152427,0.3476190305757599,0.21063238933544318,45
WINN-DIXIE PHARMACY #7319 (WV),retailer,0.0031227325,0.005315653,0.3469323667905664,0.2102856814334205,46
MEDICO PHARMACY #7609 (VA),retailer,0.002949511,0.0050201705,0.3471154433585182,0.2102773341575697,47
HOMETOWN PHARMACY #3317 (KY),retailer,0.002937121,0.004999036,0.3466441584658467,0.20998610960695702,48
HEALTH MART PHARMACY #4157 (TN),retailer,0.0027319577,0.004649067,0.346633691807617,0.2098398418173368,49
SUNRISE PHARMACY #1086 (LA),retailer,0.0026093952,0.0044399984,0.3466581698473547,0.2097709013454991,50
GOOD NEIGHBOR PHARMACY #1710 (IN),retailer,0.0025398436,0.0043213572,0.3466394724866919,0.20971222645598933,51
SUNRISE PHARMACY #9254 (IN),retailer,0.0026417247,0.0044951467,0.34638824920551,0.2096310082668946,52
COMMUNITY PHARMACY #7732 (TN),retailer,0.0025720985,0.004376378,0.3464446202031425,0.20961732328603572,53
MEDICO PHARMACY #8496 (VA),retailer,0.0025637832,0.004362194,0.346347554854493,0.20955341045972145,54
CORNER DRUG STORE #7510 (TN),retailer,0.0025831016,0.004395147,0.3462469496875098,0.20950622860076074,55
WALMART PHARMACY #7337 (OH),retailer,0.0025674566,0.00436846,0.3462635831620239,0.20950553386611895,56
MEDICO PHARMACY #7590 (OH),retailer,0.0025568532,0.0043503726,0.3461131117195267,0.20940801613761503,57
CORNER DRUG STORE #6343 (TN),retailer,0.0026608543,0.004527778,0.345952473374574,0.20938259525421626,58
WINN-DIXIE PHARMACY #3858 (IN),retailer,0.0024478424,0.0041644205,0.3459656265862864,0.20924514416534193,59
HEALTH MART PHARMACY #3762 (VA),retailer,0.0023221322,0.003949984,0.3460268953708055,0.20919613085976196,60
HARRIS TEETER PHARMACY #2996 (LA),retailer,0.0024935806,0.0042424416,0.3457867048127075,0.20916899960425467,61
CVS PHARMACY #1067 (VA),retailer,0.0025844648,0.0043974724,0.3456318586848484,0.2091381041575853,62
SUNRISE PHARMACY #1510 (IN),retailer,0.0024729078,0.004207178,0.3457478898678592,0.20913160517487653,63
PEOPLES PHARMACY #1568 (TN),retailer,0.0023800172,0.004048724,0.3456707536523337,0.2090219419384998,64
CORNER DRUG STORE #9369 (NC),retailer,0.002271471,0.0038635656,0.3455130553839579,0.208853259549728,65
WINN-DIXIE PHARMACY #3848 (PA),retailer,0.0023242685,0.003953628,0.345303758729953,0.20876370639507974,66
COMMUNITY PHARMACY #6113 (VA),retailer,0.0021559212,0.0036664598,0.3452501687511985,0.20861668517694978,67
GOOD NEIGHBOR PHARMACY #9808 (NC),retailer,0.002201149,0.0037436099,0.3451964037039281,0.20861528622058936,68
COMMUNITY PHARMACY #9568 (OH),retailer,0.00200187,0.0034036785,0.3453617314024294,0.20857851032587285,69
VILLAGE PHARMACY #7322 (OH),retailer,0.0022690825,0.0038594906,0.3449675062467421,0.2085243000200623,70
SUNRISE PHARMACY #2204 (IN),retailer,0.0020088213,0.0034155361,0.3452328771327991,0.20850594075713655,71
WALGREENS #4906 (LA),retailer,0.0020436984,0.0034750295,0.3450619648308761,0.20842719076323998,72
KROGER PHARMACY #2654 (TN),retailer,0.0020606897,0.003504013,0.3450108249147892,0.20840810014982727,73
VILLAGE PHARMACY #6885 (VA),retailer,0.002040073,0.0034688453,0.3450266357629639,0.20840351961331915,74
SUNRISE PHARMACY #4944 (MI),retailer,0.0020452247,0.0034776332,0.3449772831111657,0.2083774231828828,75
PEOPLES PHARMACY #7984 (IN),retailer,0.0020327505,0.0034563553,0.3449747743361639,0.20836740679370297,76
RITE AID #8511 (NC),retailer,0.002173824,0.0036969983,0.3447809281922894,0.2083473563013236,77
CVS PHARMACY #3854 (IN),retailer,0.0018604352,0.003162418,0.3447704575588422,0.2081272417924623,78
PEOPLES PHARMACY #9412 (PA),retailer,0.0020454861,0.0034780789,0.344544927788436,0.2081181882211027,79
CVS PHARMACY #9598 (WV),retailer,0.0018663248,0.0031724647,0.3447297553987647,0.20810683915332526,80
PUBLIX PHARMACY #3017 (VA),retailer,0.0017776473,0.0030211983,0.344801523722296,0.20808939363317044,81
FAMILY CARE PHARMACY #7660 (PA),retailer,0.001818694,0.0030912159,0.3447416461311885,0.20808147404380042,82
PEOPLES PHARMACY #3435 (WV),retailer,0.0019978345,0.0033967947,0.3445324894726025,0.20807821159636955,83
CORNER DRUG STORE #1796 (VA),retailer,0.001803555,0.0030653917,0.3447158179235479,0.20805564747129504,84
HOMETOWN PHARMACY #6304 (IN),retailer,0.0019410464,0.0032999248,0.3444345560615843,0.20798070352479578,85
FAMILY CARE PHARMACY #7240 (IN),retailer,0.0019268462,0.0032757025,0.344424006218754,0.20796468472110793,86
WINN-DIXIE PHARMACY #1858 (IN),retailer,0.0017306267,0.0029409903,0.3445782827050674,0.20792336577504503,87
HARRIS TEETER PHARMACY #9775 (TN),retailer,0.0017443701,0.002964433,0.3445079155738695,0.20789052263408414,88
QUALITY CARE PHARMACY #8710 (MI),retailer,0.0018362041,0.0031210843,0.3443617227857451,0.20786546739176753,89
MEDICO PHARMACY #2843 (TN),retailer,0.0017836131,0.0030313744,0.344401985125724,0.20785374082053962,90
RITE AID #7142 (LA),retailer,0.0016725381,0.002841902,0.3444394353724045,0.2078004220329015,91
MEDICO PHARMACY #2283 (TN),retailer,0.0017472403,0.0029693295,0.3443170071363933,0.20777793614297282,92
WALGREENS #1077 (VA),retailer,0.0016686872,0.0028353336,0.3443311883302582,0.20773284643021542,93
WALMART PHARMACY #9850 (IN),retailer,0.001716291,0.0029165363,0.3442719724376479,0.20772979805000746,94
WINN-DIXIE PHARMACY #7275 (TN),retailer,0.0017348779,0.0029482418,0.3441743783658666,0.2076839237756832,95
QUALITY CARE PHARMACY #3430 (IN),retailer,0.0015683266,0.0026641374,0.3442879424004912,0.20763842046967354,96
PUBLIX PHARMACY #5505 (PA),retailer,0.0016551396,0.0028122233,0.3441064930951942,0.20758878521413202,97
WALMART PHARMACY #6183 (VA),retailer,0.0016540749,0.0028104072,0.344026900667182,0.2075403033257165,98
HOMETOWN PHARMACY #1505 (NC),retailer,0.0015709744,0.0026686538,0.3440591245434872,0.20750293628843525,99
VILLAGE PHARMACY #2442 (VA),retailer,0.001724519,0.0029305709,0.3438686806854316,0.20749343677832682,100
HEALTH MART PHARMACY #6370 (PA),retailer,0.001627742,0.0027654879,0.3439648316561919,0.20748509414552102,101
PEOPLES PHARMACY #9239 (LA),retailer,0.0015149137,0.0025730259,0.3440908061583952,0.2074836940930108,102
MAIN STREET PHARMACY #5247 (OH),retailer,0.0015800869,0.0026841986,0.3439846538957396,0.2074644717585408,103
WALMART PHARMACY #1699 (TN),retailer,0.0015517545,0.0026358685,0.3439481447646475,0.20742323423512765,104
CVS PHARMACY #5295 (OH),retailer,0.0015211693,0.0025836956,0.3439369702991888,0.20739566047960042,105
VILLAGE PHARMACY #2850 (WV),retailer,0.001599945,0.0027180722,0.3438274210734723,0.20738368152807254,106
GOOD NEIGHBOR PHARMACY #1948 (OH),retailer,0.0014672525,0.002491725,0.3439775825393278,0.20738323953424861,107
RITE AID #6277 (IN),retailer,0.00160438,0.0027256378,0.3438167795324504,0.20738032281975027,108
KROGER PHARMACY #9032 (IN),retailer,0.0014938439,0.0025370843,0.3439184655483192,0.20736591301679613,109
PUBLIX PHARMACY #8717 (OH),retailer,0.0014455875,0.0024547675,0.3439627681723504,0.20735956791441998,110
WALMART PHARMACY #5225 (TN),retailer,0.0015310838,0.002600608,0.3438632784083384,0.20735821023944156,111
CVS PHARMACY #7625 (PA),retailer,0.0014682395,0.0024934076,0.3439180367750365,0.20734818507264932,112
SUNRISE PHARMACY #6931 (IN),retailer,0.0015059815,0.0025577887,0.3438635411793569,0.20734124018141356,113
SUNRISE PHARMACY #9410 (LA),retailer,0.0014255159,0.0024205295,0.3439377589995147,0.2073308671958435,114
PUBLIX PHARMACY #5984 (PA),retailer,0.0014600183,0.0024793837,0.3438682348886142,0.2073126944685137,115
COMMUNITY PHARMACY #1612 (VA),retailer,0.0014658839,0.00248939,0.3438604425468354,0.20731202153862616,116
MEDICO PHARMACY #8908 (WV),retailer,0.0014908332,0.0025319487,0.3437886828286424,0.20728598923663644,117
MAIN STREET PHARMACY #3042 (LA),retailer,0.0014546601,0.0024702444,0.3438028939325884,0.20726983410454689,118
FAMILY CARE PHARMACY #9504 (WV),retailer,0.0014693685,0.002495334,0.3437498968661536,0.20724807179675006,119
GOOD NEIGHBOR PHARMACY #3396 (NC),retailer,0.0014799887,0.0025134496,0.3437350743319066,0.20724642443149366,120
SUNRISE PHARMACY #3110 (PA),retailer,0.0014355788,0.0024376952,0.3436470137737921,0.20716328635250664,121
WALMART PHARMACY #1243 (IN),retailer,0.0013722775,0.0023297153,0.3436953399223296,0.20714909009458618,122
WALGREENS #5885 (VA),retailer,0.0013262902,0.0022512707,0.3436966105892636,0.20711847466560096,123
KROGER PHARMACY #1422 (IN),retailer,0.0013438538,0.0022812304,0.3435704718663299,0.20705477528327726,124
HOMETOWN PHARMACY #6015 (VA),retailer,0.0013091611,0.0022220511,0.343608307075917,0.2070538046921122,125
PUBLIX PHARMACY #3738 (TN),retailer,0.0013381978,0.0022715824,0.3435652377900789,0.20704777561140045,126
MAIN STREET PHARMACY #8688 (WV),retailer,0.001332383,0.0022616636,0.3435570035838741,0.20703886759530202,127
RITE AID #8802 (IN),retailer,0.001322932,0.002245542,0.343546486710787,0.20702610881932018,128
WALGREENS #8847 (IN),retailer,0.0013191769,0.002239136,0.3435497860813416,0.20702552608221186,129
WINN-DIXIE PHARMACY #3370 (IN),retailer,0.0013601816,0.0023090828,0.3434988916564052,0.20702296810362128,130
WINN-DIXIE PHARMACY #9514 (TN),retailer,0.0013480202,0.0022883369,0.3434995083056291,0.2070150397179775,131
HOMETOWN PHARMACY #2106 (OH),retailer,0.0012854657,0.0021816315,0.3435661603637088,0.20701234884668432,132
QUALITY CARE PHARMACY #1046 (IN),retailer,0.0013066448,0.0022177587,0.3435285737059232,0.20700424771874198,133
RITE AID #7358 (TN),retailer,0.001328934,0.0022557797,0.3434967882674041,0.20700038483685865,134
HARRIS TEETER PHARMACY #8740 (LA),retailer,0.0012505188,0.0021220187,0.3435669631718497,0.20698898541402969,135
RITE AID #3067 (IN),retailer,0.0012987283,0.002204255,0.3434635720491364,0.2069598452283601,136
VILLAGE PHARMACY #8750 (TN),retailer,0.0012779512,0.002168813,0.3434714193258998,0.20695037682756437,137
GOOD NEIGHBOR PHARMACY #8172 (KY),retailer,0.0012614597,0.0021406817,0.3434592635928851,0.20693183085737074,138
VILLAGE PHARMACY #4178 (LA),retailer,0.0012864178,0.0021832553,0.3434197341226528,0.2069251425831312,139
FAMILY CARE PHARMACY #6231 (MI),retailer,0.0023060883,0.003922616,0.3421779108484725,0.20687579303157416,140
QUALITY CARE PHARMACY #9827 (NC),retailer,0.0012283261,0.0020841623,0.3433695420464367,0.20685539019041824,141
VILLAGE PHARMACY #2163 (OH),retailer,0.0013034567,0.0022123205,0.3432820777873441,0.20685417488909852,142
MEDICO PHARMACY #1025 (LA),retailer,0.0012303271,0.0020875752,0.3433480159290168,0.20684383960603003,143
HARRIS TEETER PHARMACY #5949 (MI),retailer,0.0012491428,0.0021196718,0.3433249798088135,0.20684285662305274,144
MAIN STREET PHARMACY #2862 (IN),retailer,0.0012314308,0.0020894576,0.3433436813575888,0.20684199183747481,145
RITE AID #5240 (PA),retailer,0.0012405714,0.0021050503,0.3433286344197979,0.20683920074208245,146
RITE AID #2659 (WV),retailer,0.0022283432,0.0037899984,0.342180306873464,0.20682418344404155,147
VILLAGE PHARMACY #6664 (WV),retailer,0.001179836,0.002001448,0.3433521152293736,0.20681184840005587,148
WALMART PHARMACY #7897 (IN),retailer,0.0011637546,0.0019740155,0.3433126887525927,0.20677721943858254,149
HARRIS TEETER PHARMACY #2294 (OH),retailer,0.0012058744,0.0020458635,0.3431956836971701,0.20673575562299776,150
GOOD NEIGHBOR PHARMACY #9749 (LA),retailer,0.0011736098,0.001990827,0.3432144215381684,0.20672498372457798,151
HOMETOWN PHARMACY #3415 (TN),retailer,0.0011318562,0.0019196033,0.3432427475512132,0.20671348988380908,152
HOMETOWN PHARMACY #3595 (VA),retailer,0.0011772726,0.001997075,0.3431588699795657,0.20669415199354535,153
COMMUNITY PHARMACY #4898 (IN),retailer,0.0011602206,0.0019679875,0.3431638604678189,0.2066855112735726,154
PEOPLES PHARMACY #9246 (VA),retailer,0.0011504412,0.001951306,0.3431652090310553,0.20667964783451329,155
WALGREENS #1932 (KY),retailer,0.0011186133,0.0018970137,0.3431965966492082,0.20667676347636418,156
MEDICO PHARMACY #8848 (PA),retailer,0.0019880836,0.0033801612,0.3422034119310678,0.20667411170297567,157
MAIN STREET PHARMACY #2786 (IN),retailer,0.0011444906,0.001941155,0.3431489476187066,0.2066658305370941,158
COMMUNITY PHARMACY #9231 (PA),retailer,0.0011245968,0.0019072196,0.3431659230368957,0.20666244170327483,159
FAMILY CARE PHARMACY #6990 (MI),retailer,0.0010905848,0.0018492024,0.3431801347543055,0.20664776186318345,160
HOMETOWN PHARMACY #1040 (NC),retailer,0.0019355045,0.0032904719,0.3422139158431122,0.20664453822405962,161
HEALTH MART PHARMACY #3610 (MI),retailer,0.0011376534,0.0019294925,0.3430931954821303,0.20662771426037205,162
FAMILY CARE PHARMACY #2623 (LA),retailer,0.0011487908,0.0019484898,0.3430763830652173,0.20662522576214884,163
WINN-DIXIE PHARMACY #1854 (LA),retailer,0.001900424,0.003230631,0.3422168723077183,0.20662237571567177,164
HARRIS TEETER PHARMACY #8167 (OH),retailer,0.0018659394,0.0031718065,0.3422226769097961,0.2066023287284861,165
GOOD NEIGHBOR PHARMACY #6828 (PA),retailer,0.0011262089,0.0019099696,0.343052232787969,0.2065953275040871,166
WALMART PHARMACY #2641 (TN),retailer,0.001155419,0.0019597968,0.3430020684288521,0.20658515977379036,167
COMMUNITY PHARMACY #8218 (LA),retailer,0.0011261851,0.0019099297,0.3430199263410312,0.20657592768702532,168
MEDICO PHARMACY #2900 (OH),retailer,0.0011214428,0.0019018397,0.3430186378455583,0.20657191859304078,169
CORNER DRUG STORE #8940 (PA),retailer,0.0011246506,0.0019073117,0.3430093925917258,0.20656856028162227,170
WALGREENS #5336 (MI),retailer,0.0010895558,0.0018474465,0.343038480623299,0.20656206699273533,171
HARRIS TEETER PHARMACY #3877 (OH),retailer,0.0011147106,0.0018903561,0.3430077645853861,0.20656080117937647,172
MAIN STREET PHARMACY #9467 (TN),retailer,0.0010719209,0.0018173656,0.3430101283541122,0.20653302329280518,173
WALGREENS #6747 (NC),retailer,0.0011008083,0.0018666417,0.3429390438444226,0.20651008298154525,174
CVS PHARMACY #9267 (VA),retailer,0.0017049791,0.0028972405,0.3422479951400962,0.20650769333563931,175
GOOD NEIGHBOR PHARMACY #7326 (LA),retailer,0.0011047771,0.0018734118,0.3429283638365564,0.20650638303004187,176
QUALITY CARE PHARMACY #9647 (LA),retailer,0.0011027068,0.0018698805,0.3429278454888363,0.20650465949610244,177
COMMUNITY PHARMACY #7108 (KY),retailer,0.0010888836,0.0018463008,0.3429405664364182,0.20650286021169248,178
WALGREENS #8231 (NC),retailer,0.0010790589,0.0018295408,0.3429406891785019,0.20649622984780466,179
MAIN STREET PHARMACY #1197 (OH),retailer,0.0011011983,0.0018673067,0.3428909162754691,0.20648147244918352,180
SUNRISE PHARMACY #6178 (WV),retailer,0.0016426642,0.0027909433,0.3422679321642302,0.20647713660005226,181
QUALITY CARE PHARMACY #9692 (IN),retailer,0.001061159,0.0017990068,0.3429290173654016,0.20647701316287032,182
WALMART PHARMACY #3793 (WV),retailer,0.0011056793,0.0018749502,0.3428712405311701,0.20647272441820128,183
PUBLIX PHARMACY #9133 (OH),retailer,0.0010791739,0.0018297371,0.342867528646372,0.20645241205066128,184
GOOD NEIGHBOR PHARMACY #1461 (LA),retailer,0.0010599627,0.0017969672,0.3428668620134195,0.2064389041131057,185
WINN-DIXIE PHARMACY #9984 (IN),retailer,0.00106727,0.0018094316,0.3428489053480591,0.20643311583287735,186
QUALITY CARE PHARMACY #7172 (KY),retailer,0.0015344155,0.0026062913,0.3423035043427018,0.20642461915846422,187
WALMART PHARMACY #5402 (NC),retailer,0.001535668,0.0026084285,0.3422888791981265,0.20641669890942724,188
RITE AID #8521 (WV),retailer,0.0015267285,0.002593179,0.3422967529510761,0.2064153233475792,189
VILLAGE PHARMACY #6362 (NC),retailer,0.0010589922,0.0017953117,0.3428088499724898,0.20640343465998964,190
GOOD NEIGHBOR PHARMACY #7825 (LA),retailer,0.0010761806,0.0018246315,0.3427741618293961,0.20639434968648493,191
KROGER PHARMACY #8357 (TN),retailer,0.0010590268,0.0017953706,0.3427931947619556,0.2063940651077718,192
KROGER PHARMACY #2871 (NC),retailer,0.0010586322,0.0017946968,0.3427886330338846,0.2063910585694592,193
COMMUNITY PHARMACY #9951 (OH),retailer,0.0010628997,0.0018019768,0.3427820309982661,0.20639000936094826,194
WALMART PHARMACY #1185 (OH),retailer,0.0010592396,0.0017957336,0.34278048367515,0.20638658362559478,195
MEDICO PHARMACY #3451 (TN),retailer,0.0010591551,0.0017955893,0.3427598113180639,0.20637412252755113,196
RITE AID #9791 (OH),retailer,0.0010589173,0.001795183,0.3427564458513596,0.2063719407317393,197
MAIN STREET PHARMACY #5693 (OH),retailer,0.0010633797,0.0018027961,0.342741890273969,0.20636625263550096,198
HEALTH MART PHARMACY #3701 (VA),retailer,0.0010588588,0.0017950841,0.342744692782914,0.2063648493094625,199
HOMETOWN PHARMACY #4963 (LA),retailer,0.0010583384,0.0017941964,0.3427427816144348,0.2063633475416434,200
PUBLIX PHARMACY #7092 (OH),retailer,0.0010583344,0.0017941897,0.3427420390107889,0.2063628993019035,201
WALMART PHARMACY #2494 (PA),retailer,0.0010976243,0.0018612102,0.342692987863785,0.2063602767922191,202
PUBLIX PHARMACY #2699 (WV),retailer,0.0014223304,0.0024150955,0.3423232178866053,0.20635996893762407,203
KROGER PHARMACY #4949 (OH),retailer,0.0013960967,0.0023703463,0.3423399444744904,0.20635210521971697,204
PUBLIX PHARMACY #2069 (VA),retailer,0.0010583455,0.0017942085,0.3427131748739716,0.20634558832860136,205
HARRIS TEETER PHARMACY #3755 (NC),retailer,0.0010588553,0.001795078,0.3427005712480303,0.20633837400201818,206
WALMART PHARMACY #5772 (LA),retailer,0.001068643,0.0018117737,0.3426736464950918,0.206328897431607,207
MEDICO PHARMACY #7146 (NC),retailer,0.0010658718,0.0018070466,0.3426734802934753,0.20632690683477234,208
HOMETOWN PHARMACY #2083 (OH),retailer,0.0013432143,0.0022801394,0.3423567398977232,0.20632609971927937,209
PUBLIX PHARMACY #2324 (VA),retailer,0.0010669522,0.0018088898,0.3426588525168371,0.20631886742702255,210
FAMILY CARE PHARMACY #7979 (WV),retailer,0.0010584133,0.0017943237,0.3426666602611561,0.20631772566137951,211
MAIN STREET PHARMACY #7126 (LA),retailer,0.0010780994,0.0018279047,0.3426207466290492,0.20630360988940136,212
HEALTH MART PHARMACY #1652 (OH),retailer,0.001070128,0.0018143076,0.3426203958190016,0.20629796053774474,213
WINN-DIXIE PHARMACY #4787 (WV),retailer,0.0010741138,0.0018211062,0.3426043461594359,0.2062910502039232,214
KROGER PHARMACY #2556 (WV),retailer,0.0010746706,0.0018220549,0.3425938432458317,0.20628512791150216,215
FAMILY CARE PHARMACY #7401 (OH),retailer,0.0012125566,0.002057262,0.3424369045449159,0.2062850475377246,216
HARRIS TEETER PHARMACY #5740 (NC),retailer,0.0010780591,0.0018278357,0.3425827308757457,0.20628077278878035,217
WALGREENS #7520 (OH),retailer,0.0010739879,0.0018208909,0.3425840058394572,0.20627875986459782,218
KROGER PHARMACY #3290 (PA),retailer,0.0010827588,0.0018358524,0.3425637643612498,0.2062725995983302,219
VILLAGE PHARMACY #3709 (WV),retailer,0.001074566,0.0018218776,0.3425147707247636,0.20623761344372266,220
RITE AID #8193 (NC),retailer,0.0010770664,0.0018261429,0.3425005029781091,0.20623075897868662,221
HEALTH MART PHARMACY #6573 (MI),retailer,0.0031917836,0.005433441,0.332517316191424,0.20168376621732356,222
PEOPLES PHARMACY #1076 (VA),retailer,0.0031213008,0.0053132107,0.3324092726382746,0.20157084798466465,223
MAIN STREET PHARMACY #7859 (LA),retailer,0.0029816988,0.0050750766,0.3319588353505228,0.20120533180172703,224
HEALTH MART PHARMACY #6744 (NC),retailer,0.0029047113,0.004943751,0.3309900449563812,0.20057152724674346,225
SUNRISE PHARMACY #8341 (WV),retailer,0.0026207168,0.0044593117,0.3311875585409992,0.2004962598824422,226
WALGREENS #8368 (NC),retailer,0.002540059,0.0043217246,0.3308904704628616,0.20026297215782726,227
GOOD NEIGHBOR PHARMACY #7203 (WV),retailer,0.002328774,0.003961313,0.3308529507946068,0.2000962956968602,228
HOMETOWN PHARMACY #1672 (KY),retailer,0.0025189894,0.004285784,0.3306110375952187,0.20008093619273382,229
VILLAGE PHARMACY #7809 (NC),retailer,0.0024085082,0.0040973243,0.3307340323755716,0.20007934913420375,230
PUBLIX PHARMACY #4271 (LA),retailer,0.0023802172,0.0040490655,0.3304366467677383,0.19988161424649975,231
RITE AID #2479 (KY),retailer,0.0022230635,0.0037809925,0.3306081375976568,0.1998772795228386,232
SUNRISE PHARMACY #5850 (WV),retailer,0.0024473679,0.0041636117,0.3302910837837669,0.19984009496565092,233
MAIN STREET PHARMACY #4122 (VA),retailer,0.0020756354,0.0035295081,0.3305460555206247,0.19973943661193597,234
MEDICO PHARMACY #4308 (TN),retailer,0.0021190469,0.0036035602,0.3303997325484259,0.19968126365951766,235
PEOPLES PHARMACY #6995 (MI),retailer,0.0022436508,0.0038161092,0.3300118334990371,0.19953354373639845,236
HOMETOWN PHARMACY #7895 (OH),retailer,0.0018584059,0.0031589563,0.330266689686235,0.19942359630864484,237
PEOPLES PHARMACY #8581 (KY),retailer,0.0018173227,0.0030888764,0.3298071167845755,0.19911982068947578,238
WINN-DIXIE PHARMACY #2369 (OH),retailer,0.0018324851,0.0031147406,0.3296235594538291,0.19902003188784806,239
CORNER DRUG STORE #4580 (NC),retailer,0.0017942867,0.0030495815,0.3296300894626299,0.19899788636521662,240
COMMUNITY PHARMACY #2037 (NC),retailer,0.0018152676,0.0030853709,0.3294670177122894,0.19891435902355273,241
WALGREENS #5896 (PA),retailer,0.001770903,0.0030096935,0.3294724698817355,0.19888735931474702,242
WALMART PHARMACY #4196 (NC),retailer,0.0017622096,0.002994864,0.3293976933490761,0.19883656168525832,243
MAIN STREET PHARMACY #7806 (OH),retailer,0.0016278895,0.0027657398,0.3295347574772938,0.19882715045385088,244
