date,manufacturer,distributor,retailer,retailer_state,quantity,z_quantity,flag_volume,flag_frequency,flag_surge,flag_concentration,flag_iforest,iforest_score,anomaly_score
2011-11-11,SUN PHARMA GLOBAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,76189,3.287676197930754,False,True,True,True,True,0.7907483911942221,4
2009-11-08,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,92801,4.040414202689552,True,True,False,True,True,0.7864798773665049,4
2011-06-27,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,55815,2.3644710384703793,False,True,True,True,True,0.7955781670529618,4
2013-03-30,AMNEAL PHARMACEUTICALS LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,94969,4.138652584240062,True,True,False,True,True,0.7832936199440851,4
2010-12-26,CADISTA PHARMACEUTICALS INC,BURLINGTON DRUG COMPANY INC,HEALTH MART PHARMACY #9792 (MT),MT,171209,7.593308584890843,True,False,True,True,True,0.7577510410467333,4
2014-04-15,TEVA PHARMACEUTICALS USA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,95184,4.148394859163199,True,True,False,True,True,0.7832936199440851,4
2012-09-27,PURDUE PHARMA LP,BURLINGTON DRUG COMPANY INC,QUALITY CARE PHARMACY #4613 (CT),CT,435732,19.579614582531796,True,False,True,True,True,0.7870121789422854,4
2011-08-26,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,101625,4.440255290697717,True,True,False,True,True,0.7875448407878906,4
2012-02-15,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,113702,4.9874992639382665,True,True,False,True,True,0.778538420803912,4
2011-09-11,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,114749,5.03494187716861,True,True,False,True,True,0.778538420803912,4
2012-08-19,PURDUE PHARMA LP,HENRY SCHEIN INC,WINN-DIXIE PHARMACY #7035 (UT),UT,345370,15.485049714604125,True,False,True,True,True,0.7822344052679904,4
2010-05-27,CADISTA PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,103364,4.519054435308574,True,True,False,True,True,0.7780118505178505,4
2010-03-10,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,92376,4.021156217376375,True,True,False,True,True,0.7780118505178505,4
2012-08-22,PURDUE PHARMA LP,PRESCRIPTION SUPPLY INC,PUBLIX PHARMACY #3733 (NY),NY,116052,5.093984594493477,True,False,True,True,True,0.7562145489747049,4
2012-09-06,PURDUE PHARMA LP,KEYSOURCE MEDICAL INC,COMMUNITY PHARMACY #6766 (NY),NY,172877,7.668890513131733,True,False,True,True,True,0.7649627181646446,4
2012-08-26,PURDUE PHARMA LP,KINRAY LLC,WALGREENS #5136 (FL),FL,139183,6.142117437503095,True,False,True,True,True,0.7562904522103777,4
2009-07-18,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,110021,4.820702454672848,True,True,False,True,True,0.782763833443506,4
2012-09-21,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,110330,4.834704142818192,True,True,False,True,True,0.7801202709719055,4
2014-01-01,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,101507,4.4349083677166465,True,True,False,True,True,0.782763833443506,4
2009-10-27,MYLAN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,118080,5.185879169117294,True,True,False,True,True,0.7902135626033302,4
2012-08-01,PURDUE PHARMA LP,KINRAY LLC,SUNRISE PHARMACY #7038 (ID),ID,471138,21.183963354292572,True,False,True,True,True,0.7838237650122478,4
2012-07-27,PURDUE PHARMA LP,CARDINAL HEALTH INC,CVS PHARMACY #6912 (MA),MA,298873,13.378135495529369,True,False,True,True,True,0.7801202709719055,4
2012-05-10,MALLINCKRODT LLC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,107432,4.703387339435638,True,True,False,True,True,0.7811766229228906,4
2011-05-24,LANNETT COMPANY INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,101668,4.442203745682344,True,True,False,True,True,0.7918191345614413,4
2013-08-06,SANDOZ INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,105124,4.598805150958434,True,False,True,True,True,0.7649627181646446,4
2013-02-08,JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,97350,4.24654261490047,True,True,False,True,True,0.774859899521032,4
2012-09-07,PURDUE PHARMA LP,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,45422,1.8935339999766285,False,True,True,True,True,0.7955781670529618,4
2010-09-14,QUALITEST PHARMACEUTICALS,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,117305,5.1507616664873845,True,True,False,True,True,0.7902135626033302,4
2012-09-07,PURDUE PHARMA LP,MORRIS & DICKSON CO LLC,VILLAGE PHARMACY #1011 (RI),RI,391390,17.570349677221504,True,False,True,True,True,0.7848851318222239,4
2013-11-25,PAR PHARMACEUTICAL INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,112086,4.914273606841576,True,False,True,True,True,0.7670357753301549,4
2013-03-16,ENDO PHARMACEUTICALS INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,91582,3.9851777695207,True,True,False,True,True,0.7822344052679904,4
2011-11-05,ACTAVIS PHARMA INC,MIAMI-LUKEN INC,TUG VALLEY PHARMACY #1 (WV),WV,83353,3.612297860950982,True,True,False,True,True,0.7717207179892026,4
